"","Aureobasidium","Eremomyces","Ramularia","Sphaerulina","Baudoinia","Bonordeniella","Macroventuria","Leptosphaeria","Parastagonospora","Alternaria","Bipolaris","Pyrenophora","Verruconis","Cyphellophora","Capronia","Cladophialophora","Exophiala","Fonsecaea","Rhinocladiella","Aspergillus","Penicillium","Byssochlamys","Rasamsonia","Talaromyces","Blastomyces","Histoplasma","Arthroderma","Microsporum","Nannizzia","Trichophyton","Uncinocarpus","Coccidioides","Paracoccidioides","Glarea","Phialocephala","Botrytis","Sclerotinia","Arthrobotrys","Saitoella","Pneumocystis","Ascoidea","Babjeviella","Candida","Debaryomyces","Hyphopichia","Lodderomyces","Meyerozyma","Scheffersomyces","Spathaspora","Suhomyces","Yamadazyma","Yarrowia","Clavispora","Metschnikowia","Diutina","Cyberlindnera","Komagataella","Wickerhamomyces","Ogataea","Pichia","Eremothecium","Kazachstania","Kluyveromyces","Lachancea","Nakaseomyces","Naumovozyma","Saccharomyces","Tetrapisispora","Torulaspora","Vanderwaltozyma","Sugiyamaella","Schizosaccharomyces","Colletotrichum","Verticillium","Metarhizium","Cordyceps","Trichoderma","Fusarium","Purpureocillium","Pyricularia","Scedosporium","Sporothrix","Chaetomium","Podospora","Thermothelomyces","Neurospora","Sordaria","Phaeoacremonium","Pestalotiopsis","Xylona","Agaricus","Coprinopsis","Schizophyllum","Coniophora","Serpula","Punctularia","Gloeophyllum","Trametes","Heterobasidion","Stereum","Tilletiopsis","Tilletiaria","Pseudomicrostroma","Malassezia","Rhodotorula","Puccinia","Cryptococcus","Kwoniella","Kockovaella","Tremella","Cutaneotrichosporon","Trichosporon","Anthracocystis","Kalmanozyma","Moesziomyces","Pseudozyma","Sporisorium","Ustilago","Wallemia","Vittaforma","Mitosporidium","Encephalitozoon","Rhizophagus","Phycomyces","Rhizopus"
"13767.58cfa832e4b0c9d6adf6ce4c",2,0,0,1,0,0,0,3,4,4,0,0,3,0,0,0,0,0,3,793,7,4,0,33,6,1,0,0,0,28,0,1,11,0,0,0,1,0,0,0,1,0,5,0,13,0,4,0,0,0,0,2,13,0,34,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,32,25,0,87,2,0,6,1,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
"13767.58cfa830e4b0c9d6adf6bf9b",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf731ca",0,0,0,5,7,0,2,2,10,1,0,0,1,0,0,1,3,9,0,1259,18,72,0,124,8,5,15,9,6,14,13,14,34,1,1,2,3,0,3,0,0,0,22,1,0,5,1,1,1,0,0,0,1,0,1,0,0,3,2,0,1,1,2,0,1,6,12,6,1,1,0,3,7,0,1,0,6,12,0,4,0,0,2,0,1,1,1,1,87,0,1,1,0,0,1,0,0,2,1,1,0,0,1,90,5,1,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"13767.58cfa83ce4b0c9d6adf72ffc",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6d512",27,0,2,2,0,0,1,2,4,131,0,0,3,0,0,1,21,5,0,161,5,1,0,2,4,2,0,0,0,4,0,1,3,0,0,11,0,0,0,0,0,0,363,6,2,3,1,2,3,0,0,0,4,0,3,5,0,4,0,1,0,0,0,2,0,0,2,0,0,0,0,0,9,1,6,5,18,19,1,15,0,0,1,1,1,11,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,181,3,3,3,0,1,0,0,1,1,0,2,0,1,0,1,0,0,0,15,0,0
"13767.58cfa83ce4b0c9d6adf72e5b",6,0,438,3,0,0,2,3,2,147,4,1,2,0,0,0,1,0,2,276,19,2,0,7,7,1,0,0,0,11,0,1,7,1,0,0,0,0,0,0,0,0,3,29,4,0,7,1,1,0,0,28,6,0,15,2,0,2,0,1,0,0,27,0,0,0,0,0,0,0,0,0,1,0,4,0,27,19,1,31,0,0,1,1,2,11,1,0,2,1,6,0,0,1,1,0,0,2,2,0,4,0,1,391,0,1,5,0,2,1,0,2,0,0,1,0,1,0,11,0,0,0,9,0,0
"13767.58cfa832e4b0c9d6adf6d64f",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,41,2,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,12,6,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,7,0,4,1,0,1,0,1,2,8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"13767.58cfa830e4b0c9d6adf6c301",4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,11,4,0,82,2,0,0,0,0,8,0,0,5,0,0,2,0,0,0,0,0,0,2,13,7,0,2,0,0,0,0,6,5,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,12,35,3,30,1,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"13767.58cfa831e4b0c9d6adf6c58a",6,5,3,191,232,0,136,79,196,14,15,0,1,0,0,2,29,74,0,321,16,37,1,44,12,11,16,13,9,11,29,31,29,16,12,38,79,24,2,15,1,0,7,3,4,4,1,2,1,0,0,6,5,1,5,0,0,6,2,1,1,1,8,5,1,3,2,2,3,2,3,18,51,3,15,1,16,155,0,16,4,2,21,1,10,9,6,3,4,0,4,2,6,1,3,1,1,2,2,2,0,0,0,53,1,0,13,0,5,3,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0
"13767.58cfa830e4b0c9d6adf6bf81",0,0,22,0,0,0,0,1,0,2,0,0,3,0,0,0,2,0,0,113,5,1,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,11,0,0,2,1,0,4,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0,0,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,0
