"","Saccotheciaceae","Eremomycetaceae","Mycosphaerellaceae","Teratosphaeriaceae","Fungi_Ascomycota_Dothideomycetes_other_other","Didymellaceae","Leptosphaeriaceae","Phaeosphaeriaceae","Pleosporaceae","Sympoventuriaceae","Cyphellophoraceae","Herpotrichiellaceae","Aspergillaceae","Thermoascaceae","Trichocomaceae","Ajellomycetaceae","Arthrodermataceae","Onygenaceae","Fungi_Ascomycota_Eurotiomycetes_Onygenales_other","Helotiaceae","Fungi_Ascomycota_Leotiomycetes_Helotiales_other","Sclerotiniaceae","Orbiliaceae","Fungi_Ascomycota_other_other_other","Pneumocystidaceae","Ascoideaceae","Debaryomycetaceae","Dipodascaceae","Metschnikowiaceae","Fungi_Ascomycota_Saccharomycetes_Saccharomycetales_other","Phaffomycetaceae","Pichiaceae","Saccharomycetaceae","Trichomonascaceae","Schizosaccharomycetaceae","Glomerellaceae","Plectosphaerellaceae","Clavicipitaceae","Cordycipitaceae","Hypocreaceae","Nectriaceae","Ophiocordycipitaceae","Pyriculariaceae","Microascaceae","Ophiostomataceae","Chaetomiaceae","Sordariaceae","Togniniaceae","Sporocadaceae","Xylonaceae","Agaricaceae","Psathyrellaceae","Schizophyllaceae","Coniophoraceae","Serpulaceae","Punctulariaceae","Gloeophyllaceae","Polyporaceae","Bondarzewiaceae","Stereaceae","Fungi_Basidiomycota_Exobasidiomycetes_Entylomatales_other","Tilletiariaceae","Fungi_Basidiomycota_Exobasidiomycetes_Microstromatales_other","Malasseziaceae","Sporidiobolaceae","Pucciniaceae","Cryptococcaceae","Cuniculitremaceae","Tremellaceae","Trichosporonaceae","Ustilaginaceae","Wallemiaceae","Nosematidae","Fungi_Microsporidia_other_other_other","Unikaryonidae","Glomeraceae","Phycomycetaceae","Rhizopodaceae"
"13767.58cfa834e4b0c9d6adf6e768",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e820",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e582",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf703fe",1,0,1,0,0,0,6,0,0,4,0,0,333,2,7,54,20,0,22,0,0,0,0,0,0,1,30,1,23,29,0,1,0,0,0,0,1,16,0,18,12,0,110,0,0,12,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,34,3,0
"13767.58cfa834e4b0c9d6adf6e9db",0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"13767.58cfa83ae4b0c9d6adf71cca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e784",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa836e4b0c9d6adf6fb89",1,0,1,0,0,0,10,0,0,5,0,2,504,6,4,56,33,0,32,0,0,1,0,0,0,2,43,1,29,46,0,1,0,0,1,0,1,24,0,27,9,1,137,2,0,16,58,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,38,0,1
"13767.58cfa837e4b0c9d6adf700ce",0,0,0,0,0,0,2,0,0,1,0,0,84,1,2,12,7,0,7,0,0,0,0,0,0,0,9,0,7,7,0,0,0,0,0,0,0,5,0,5,0,0,22,0,0,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,6,0,0
"13767.58cfa83ae4b0c9d6adf71c63",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
