"","Saccotheciaceae","Eremomycetaceae","Mycosphaerellaceae","Teratosphaeriaceae","Fungi_Ascomycota_Dothideomycetes_other_other","Didymellaceae","Leptosphaeriaceae","Phaeosphaeriaceae","Pleosporaceae","Sympoventuriaceae","Cyphellophoraceae","Herpotrichiellaceae","Aspergillaceae","Thermoascaceae","Trichocomaceae","Ajellomycetaceae","Arthrodermataceae","Onygenaceae","Fungi_Ascomycota_Eurotiomycetes_Onygenales_other","Helotiaceae","Fungi_Ascomycota_Leotiomycetes_Helotiales_other","Sclerotiniaceae","Orbiliaceae","Fungi_Ascomycota_other_other_other","Pneumocystidaceae","Ascoideaceae","Debaryomycetaceae","Dipodascaceae","Metschnikowiaceae","Fungi_Ascomycota_Saccharomycetes_Saccharomycetales_other","Phaffomycetaceae","Pichiaceae","Saccharomycetaceae","Trichomonascaceae","Schizosaccharomycetaceae","Glomerellaceae","Plectosphaerellaceae","Clavicipitaceae","Cordycipitaceae","Hypocreaceae","Nectriaceae","Ophiocordycipitaceae","Pyriculariaceae","Microascaceae","Ophiostomataceae","Chaetomiaceae","Sordariaceae","Togniniaceae","Sporocadaceae","Xylonaceae","Agaricaceae","Psathyrellaceae","Schizophyllaceae","Coniophoraceae","Serpulaceae","Punctulariaceae","Gloeophyllaceae","Polyporaceae","Bondarzewiaceae","Stereaceae","Fungi_Basidiomycota_Exobasidiomycetes_Entylomatales_other","Tilletiariaceae","Fungi_Basidiomycota_Exobasidiomycetes_Microstromatales_other","Malasseziaceae","Sporidiobolaceae","Pucciniaceae","Cryptococcaceae","Cuniculitremaceae","Tremellaceae","Trichosporonaceae","Ustilaginaceae","Wallemiaceae","Nosematidae","Fungi_Microsporidia_other_other_other","Unikaryonidae","Glomeraceae","Phycomycetaceae","Rhizopodaceae"
"13767.58cfa834e4b0c9d6adf6e453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"13767.58cfa83ce4b0c9d6adf72c36",2,0,880,2,1,1,2,7,2,0,0,11,40,2,3,5,8,2,7,1,1,3,0,0,2,0,5,0,6,1,1,1,5,0,2,5,0,1,0,1,5842,0,4,0,1,2,4,0,1,0,2,0,0,1,2,1,1,1,1,2,0,0,1,64,13,1,10,10,2,253,9,2,0,0,0,2,1,0
"13767.58cfa83ce4b0c9d6adf72b84",0,0,17297,1,0,2,3,16,1,1,0,5,87,3,10,7,15,7,17,3,1,7,1,3,2,0,67,0,21,4,4,8,35,5,10,20,1,4,1,5,212,0,6,1,1,7,8,1,1,0,14,5,2,3,11,6,5,7,9,5,0,0,25,901,18,3,53,40,12,8207,26,4,0,0,1,2,5,0
"13767.58cfa83be4b0c9d6adf72a15",0,3,26801,30,0,13,13,46,9,1,0,29,150,11,18,26,30,15,47,6,5,28,5,4,3,0,14,1,12,3,6,4,29,4,8,16,1,8,1,4,426,0,4,1,0,10,5,1,5,0,7,1,0,2,10,5,3,6,9,38,0,0,2,86,12,2,15,9,4,15129,8,34,0,0,0,3,1,0
"13767.58cfa83ce4b0c9d6adf72b7c",0,0,7996,0,0,0,0,1,2,0,0,1,21,0,1,4,2,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2,12,0,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,1,0,1,2928,1,0,0,0,0,3,1,0
"13767.58cfa83ce4b0c9d6adf72b7d",0,0,9880,0,0,0,1,1,0,0,0,0,29,1,2,2,1,1,4,0,0,1,0,0,0,0,5,0,5,1,1,0,1,1,0,4,0,1,0,1,12,0,4,0,1,2,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,70,0,2,3,1,0,2764,4,0,0,0,0,1,2,0
"13767.58cfa834e4b0c9d6adf6e6b4",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72bf9",3,0,10641,4,0,4,5,14,5,0,0,17,142,7,11,12,18,9,25,4,2,13,3,13,9,0,17,0,16,3,6,13,20,12,26,10,2,1,1,3,1405,0,2,1,2,6,3,0,4,0,21,6,1,10,18,8,9,6,7,13,0,0,17,116,125,46,61,38,18,4770,42,10,0,0,0,13,9,0
"13767.58cfa83ce4b0c9d6adf72bbe",0,0,6140,3,0,3,3,15,2,0,0,31,55,1,6,9,10,4,12,1,2,4,1,0,0,0,9,0,9,1,1,3,4,1,2,8,1,3,0,3,192,0,5,1,0,5,5,0,1,1,1,1,0,0,2,1,0,1,1,0,0,0,2,33,3,1,4,1,1,3302,2,2,0,0,0,2,1,0
"13767.58cfa83be4b0c9d6adf72884",2,0,8282,0,0,0,0,1,1,0,0,0,41,0,1,4,3,0,6,0,0,1,0,0,0,1,6,0,3,2,0,0,0,0,0,1,0,1,0,2,174594,0,9,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114,2,0,1,1,0,2878,1,1,0,0,0,3,0,0
