"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa832e4b0c9d6adf6d6b2",11,2,0,0
"13767.58cfa832e4b0c9d6adf6d766",3,0,0,0
"13767.58cfa832e4b0c9d6adf6d7ce",80,1,0,3
"13767.58cfa838e4b0c9d6adf7054a",49,3,0,1
"13767.58cfa838e4b0c9d6adf7043b",46,0,0,2
"13767.58cfa833e4b0c9d6adf6da2d",7,0,0,0
"13767.58cfa833e4b0c9d6adf6d87b",3,0,0,0
"13767.58cfa837e4b0c9d6adf702d2",37,1,0,1
"13767.58cfa838e4b0c9d6adf70de6",6,2,0,0
"13767.58cfa837e4b0c9d6adf702cc",50,1,0,1
"13767.58cfa832e4b0c9d6adf6d802",4,0,0,0
"13767.58cfa838e4b0c9d6adf70622",50,1,0,1
"13767.58cfa832e4b0c9d6adf6d6f3",12,0,0,0
"13767.58cfa838e4b0c9d6adf70b22",4,1,0,0
"13767.58cfa832e4b0c9d6adf6d81e",10,0,0,0
"13767.58cfa837e4b0c9d6adf703ca",26,0,0,1
"13767.58cfa838e4b0c9d6adf7066a",67,1,0,2
"13767.58cfa832e4b0c9d6adf6d6b8",20,0,0,2
"13767.58cfa838e4b0c9d6adf70913",10,0,0,0
"13767.58cfa832e4b0c9d6adf6d75b",20,1,0,1
"13767.58cfa838e4b0c9d6adf70c7f",16,1,0,1
"13767.58cfa832e4b0c9d6adf6d7e6",18,2,0,0
"13767.58cfa832e4b0c9d6adf6d70e",5,2,0,0
"13767.58cfa832e4b0c9d6adf6d7a2",31,0,0,1
"13767.58cfa833e4b0c9d6adf6d8ef",36,0,0,1
"13767.58cfa838e4b0c9d6adf70534",16,3,0,1
"13767.58cfa832e4b0c9d6adf6d6e9",7,2,0,0
"13767.58cfa838e4b0c9d6adf70545",63,2,0,3
"13767.58cfa838e4b0c9d6adf70954",12,1,0,0
"13767.58cfa838e4b0c9d6adf70602",28,1,0,1
"13767.58cfa833e4b0c9d6adf6da58",2,0,0,1
"13767.58cfa833e4b0c9d6adf6da14",2,0,0,0
"13767.58cfa838e4b0c9d6adf70fd8",14,1,0,1
"13767.58cfa832e4b0c9d6adf6d838",68,1,0,2
"13767.58cfa832e4b0c9d6adf6d832",21,0,0,1
"13767.58cfa832e4b0c9d6adf6d77b",6,2,0,0
"13767.58cfa837e4b0c9d6adf703e4",76,1,0,3
"13767.58cfa832e4b0c9d6adf6d7fb",7,1,0,0
"13767.58cfa837e4b0c9d6adf702ac",29,1,0,1
"13767.58cfa833e4b0c9d6adf6ddf8",18,31,0,2
"13767.58cfa838e4b0c9d6adf70a44",19,0,0,0
"13767.58cfa832e4b0c9d6adf6d717",5,0,0,0
"13767.58cfa832e4b0c9d6adf6d7c1",4,0,0,0
"13767.58cfa838e4b0c9d6adf705d8",41,1,0,1
"13767.58cfa832e4b0c9d6adf6d74d",16,1,0,1
"13767.58cfa832e4b0c9d6adf6d72c",11,1,0,1
"13767.58cfa833e4b0c9d6adf6da4b",0,1,0,0
"13767.58cfa838e4b0c9d6adf70788",11,1,0,1
"13767.58cfa838e4b0c9d6adf70fa2",95,2,0,3
"13767.58cfa838e4b0c9d6adf705cc",30,1,0,2
"13767.58cfa833e4b0c9d6adf6d874",3,1,0,0
"13767.58cfa838e4b0c9d6adf70a7f",13,3,0,1
"13767.58cfa838e4b0c9d6adf70d48",50,1,0,1
"13767.58cfa838e4b0c9d6adf7098e",44,0,0,1
"13767.58cfa832e4b0c9d6adf6d83e",4,0,0,0
"13767.58cfa838e4b0c9d6adf70453",73,1,0,2
"13767.58cfa837e4b0c9d6adf702b0",41,0,0,1
"13767.58cfa833e4b0c9d6adf6d9dc",3,0,0,0
"13767.58cfa838e4b0c9d6adf7061c",27,1,0,1
"13767.58cfa83be4b0c9d6adf71ffa",1,2,0,0
"13767.58cfa838e4b0c9d6adf7098f",9,0,0,1
"13767.58cfa832e4b0c9d6adf6d75d",5,0,0,0
"13767.58cfa838e4b0c9d6adf70a6c",6,0,0,0
"13767.58cfa838e4b0c9d6adf70bcf",10,1,0,0
"13767.58cfa832e4b0c9d6adf6d852",6,0,0,0
"13767.58cfa832e4b0c9d6adf6d7da",12,0,0,1
"13767.58cfa833e4b0c9d6adf6da10",8,0,0,0
"13767.58cfa833e4b0c9d6adf6da22",1,0,0,0
"13767.58cfa833e4b0c9d6adf6d941",10,0,0,0
"13767.58cfa832e4b0c9d6adf6d6ef",22,0,0,1
"13767.58cfa832e4b0c9d6adf6d848",13,0,0,1
"13767.58cfa838e4b0c9d6adf70fe8",15,1,0,1
"13767.58cfa838e4b0c9d6adf7067e",33,2,0,1
"13767.58cfa832e4b0c9d6adf6d81c",8,0,0,0
"13767.58cfa838e4b0c9d6adf708de",6,1,0,0
"13767.58cfa838e4b0c9d6adf70de2",8,1,0,0
"13767.58cfa832e4b0c9d6adf6d6e7",8,0,0,0
"13767.58cfa838e4b0c9d6adf705fc",23,0,0,1
"13767.58cfa832e4b0c9d6adf6d828",9,0,0,0
"13767.58cfa838e4b0c9d6adf70fa0",8,1,0,0
"13767.58cfa832e4b0c9d6adf6d732",21,0,0,1
"13767.58cfa837e4b0c9d6adf700ab",118,1,0,3
"13767.58cfa838e4b0c9d6adf70d6e",11,1,0,0
"13767.58cfa838e4b0c9d6adf705d5",100,1,0,5
"13767.58cfa832e4b0c9d6adf6d6c4",12,0,0,0
"13767.58cfa838e4b0c9d6adf70982",3,0,0,0
"13767.58cfa832e4b0c9d6adf6d7f4",11,0,0,1
"13767.58cfa83ae4b0c9d6adf71e74",0,2,0,0
"13767.58cfa83be4b0c9d6adf7201d",2,0,0,0
"13767.58cfa833e4b0c9d6adf6db9f",45,0,0,1
"13767.58cfa832e4b0c9d6adf6d752",10,0,0,0
"13767.58cfa838e4b0c9d6adf709b2",6,0,0,0
"13767.58cfa832e4b0c9d6adf6d7fe",13,0,0,0
"13767.58cfa832e4b0c9d6adf6d782",6,0,0,0
"13767.58cfa838e4b0c9d6adf70a74",3,0,0,0
"13767.58cfa835e4b0c9d6adf6ecca",1,2,0,0
"13767.58cfa838e4b0c9d6adf70c4c",5,1,0,0
"13767.58cfa832e4b0c9d6adf6d770",15,1,0,1
"13767.58cfa832e4b0c9d6adf6d6d1",5,0,0,0
"13767.58cfa838e4b0c9d6adf709c6",31,0,0,1
"13767.58cfa838e4b0c9d6adf70fae",2,1,0,0
"13767.58cfa838e4b0c9d6adf70ff4",16,0,0,1
"13767.58cfa833e4b0c9d6adf6da29",3,1,0,1
"13767.58cfa833e4b0c9d6adf6da5a",0,1,0,0
"13767.58cfa838e4b0c9d6adf7097a",8,1,0,1
"13767.58cfa832e4b0c9d6adf6d78e",1,0,0,0
"13767.58cfa838e4b0c9d6adf70fa6",3,0,0,0
"13767.58cfa838e4b0c9d6adf7040e",65,4,0,3
"13767.58cfa832e4b0c9d6adf6d71b",14,1,0,1
"13767.58cfa838e4b0c9d6adf70a24",4,1,0,0
"13767.58cfa833e4b0c9d6adf6d9af",4,0,0,0
"13767.58cfa833e4b0c9d6adf6d99c",5,2,0,1
"13767.58cfa833e4b0c9d6adf6da48",6,1,0,0
"13767.58cfa832e4b0c9d6adf6d763",7,2,0,0
"13767.58cfa838e4b0c9d6adf70b72",16,0,0,1
"13767.58cfa833e4b0c9d6adf6d8ec",7,0,0,1
"13767.58cfa832e4b0c9d6adf6d74f",20,0,0,1
"13767.58cfa833e4b0c9d6adf6d8f9",1,0,0,0
"13767.58cfa838e4b0c9d6adf707e6",8,1,0,0
"13767.58cfa838e4b0c9d6adf70900",5,1,0,0
"13767.58cfa832e4b0c9d6adf6d6f7",2,0,0,0
"13767.58cfa832e4b0c9d6adf6d6c2",8,1,0,1
"13767.58cfa838e4b0c9d6adf70af1",7,2,0,0
"13767.58cfa832e4b0c9d6adf6d6dd",6,0,0,0
"13767.58cfa833e4b0c9d6adf6da4c",6,0,0,1
"13767.58cfa832e4b0c9d6adf6d6c0",8,0,0,0
"13767.58cfa838e4b0c9d6adf70465",49,1,0,3
"13767.58cfa833e4b0c9d6adf6d950",6,0,0,0
"13767.58cfa832e4b0c9d6adf6d707",14,0,0,1
"13767.58cfa833e4b0c9d6adf6d91b",24,0,0,1
"13767.58cfa838e4b0c9d6adf7093a",9,4,0,0
"13767.58cfa838e4b0c9d6adf70a3a",2,3,0,0
"13767.58cfa833e4b0c9d6adf6d892",4,2,0,0
"13767.58cfa838e4b0c9d6adf70af0",16,1,0,0
"13767.58cfa838e4b0c9d6adf70f72",2,0,0,0
"13767.58cfa833e4b0c9d6adf6d948",1,2,0,0
"13767.58cfa838e4b0c9d6adf70a4a",11,0,0,0
"13767.58cfa833e4b0c9d6adf6da28",3,0,0,0
"13767.58cfa838e4b0c9d6adf706d2",21,1,0,2
"13767.58cfa838e4b0c9d6adf70a78",9,1,0,0
"13767.58cfa838e4b0c9d6adf705de",15,2,0,0
"13767.58cfa832e4b0c9d6adf6d713",11,2,0,0
"13767.58cfa833e4b0c9d6adf6d8eb",6,1,0,0
"13767.58cfa832e4b0c9d6adf6d7be",10,0,0,1
"13767.58cfa833e4b0c9d6adf6d98d",4,0,0,0
"13767.58cfa838e4b0c9d6adf70b54",21,1,0,1
"13767.58cfa838e4b0c9d6adf7045e",14,1,0,1
"13767.58cfa832e4b0c9d6adf6d6fc",1,0,0,0
"13767.58cfa838e4b0c9d6adf70d74",32,2,0,1
"13767.58cfa835e4b0c9d6adf6ecd4",2,2,0,0
"13767.58cfa833e4b0c9d6adf6d8f7",17,0,0,1
"13767.58cfa833e4b0c9d6adf6d8f4",7,0,0,0
"13767.58cfa838e4b0c9d6adf7086c",6,3,0,0
"13767.58cfa832e4b0c9d6adf6d71f",9,0,0,0
"13767.58cfa835e4b0c9d6adf6edbc",82,1,0,3
