"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13722.58cfa82fe4b0c9d6adf6b6e4",151,13460,0,2
"13722.58cfa82fe4b0c9d6adf6b728",267,10146,0,2
"13722.58cfa82fe4b0c9d6adf6b70a",100,14423,0,4
"13722.58cfa82fe4b0c9d6adf6b780",159,17382,0,3
"13722.58cfa82fe4b0c9d6adf6b78c",27,16292,0,1
"13722.58cfa82fe4b0c9d6adf6b7d5",406,12220,0,1
"13722.58cfa82fe4b0c9d6adf6b8a7",408,18441,0,1
"13722.58cfa82fe4b0c9d6adf6b8ea",30,18285,0,0
"13722.58cfa82fe4b0c9d6adf6b82d",11668,37845,0,3
"13722.58cfa82fe4b0c9d6adf6b762",524180,251283,0,4
"13722.58cfa82fe4b0c9d6adf6b760",568343,273911,0,3
"13722.58cfa82fe4b0c9d6adf6b9a8",66,15530,0,0
"13722.58cfa830e4b0c9d6adf6bada",27,17928,0,1
"13722.58cfa82fe4b0c9d6adf6b84c",800154,387389,0,4
"13722.58cfa82fe4b0c9d6adf6b7ee",259,27001,0,4
"13722.58cfa82fe4b0c9d6adf6b668",59,20171,0,5
"13722.58cfa82fe4b0c9d6adf6b7fe",1248,18982,0,8
