"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13722.58cfa831e4b0c9d6adf6c350",0,3612,0,0
"13722.58cfa831e4b0c9d6adf6c37a",19,18342,0,2
"13722.58cfa831e4b0c9d6adf6c465",43,18735,0,2
"13722.58cfa831e4b0c9d6adf6c4b7",695,31215,0,4
"13722.58cfa831e4b0c9d6adf6c632",1,5671,0,0
"13722.58cfa831e4b0c9d6adf6c88c",4,2092,0,0
"13722.58cfa831e4b0c9d6adf6c945",26,14223,0,1
"13722.58cfa831e4b0c9d6adf6cd23",7,20031,0,2
"13722.58cfa830e4b0c9d6adf6bf26",81,26354,0,0
"13722.58cfa830e4b0c9d6adf6bf3d",839,22782,0,0
"13722.58cfa831e4b0c9d6adf6c36a",36,4701,0,0
"13722.58cfa831e4b0c9d6adf6c43c",28,19882,0,0
"13722.58cfa831e4b0c9d6adf6c4da",0,51,0,0
"13722.58cfa831e4b0c9d6adf6c4f6",12,9678,0,0
"13722.58cfa831e4b0c9d6adf6c4be",1085,11030,0,0
"13722.58cfa831e4b0c9d6adf6c502",5,10569,0,0
"13722.58cfa831e4b0c9d6adf6c580",26,5209,0,0
"13722.58cfa831e4b0c9d6adf6c5eb",101,3957,0,0
"13722.58cfa831e4b0c9d6adf6c600",106,13643,0,1
"13722.58cfa831e4b0c9d6adf6c640",106,13643,0,1
"13722.58cfa831e4b0c9d6adf6c94f",9,14822,0,0
"13722.58cfa830e4b0c9d6adf6c032",0,910,0,0
"13722.58cfa830e4b0c9d6adf6c2f5",0,1130,0,0
"13722.58cfa831e4b0c9d6adf6c9d0",14,18239,0,1
