"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0515",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
"F0516",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
"F0517",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
"F0519",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0522",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
"F0479",0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,4
"F0525",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F0482",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0483",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
"F0580",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F0581",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4
"F0582",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"F0586",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F0826",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
"F0827",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
"F0829",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3
"F0830",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0832",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0833",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"F0836",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"F0837",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0839",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0840",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0841",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"F0845",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0848",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0850",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3
"F0851",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"F0854",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F0856",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0858",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0574",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
"F0575",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
"F0576",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F0634",1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,6
"F0635",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0637",1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,5
"F0638",1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4
"F0640",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0641",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
"F0642",1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4
"F0643",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3
"F0644",1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5
"F0645",1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4
"F0646",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F0647",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,4
"F0648",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"F0650",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F0651",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0652",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0653",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0656",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"F0658",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F0660",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0661",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"F0662",1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4
"F0665",1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4
"F0666",1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,5
"F0868",1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4
"F0870",1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,8
"F0871",1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,6
"F0872",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4
"F0874",1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,5
"F0875",1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,7
"F0876",1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,5
"F0877",1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4
"F0860",1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,6
"F0878",1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,6
"F0879",0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,5
"F0880",1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,6
"F0881",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3
"F0883",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F0884",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"F0885",1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,7
"F0886",1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,6
"F0887",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
"F0861",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0862",1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,5
"F0863",1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,6
"F0865",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F0866",1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,7
"F0867",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F1219",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
"F1076",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F1077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F1078",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3
"F1079",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1081",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
"F1082",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F1083",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"F1551",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F1552",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F1553",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,4
"F1554",1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,5
"F1555",1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,5
"F1556",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
"F1557",1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,6
"F1558",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F1560",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
"F1561",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
"F1563",1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5
"F1564",1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,5
"F1565",1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,5
"F1566",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4
"F1573",1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,8
"F1574",1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,6
"F1575",0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,4
"F1576",0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,5
"F1577",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F1578",1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,5
"F1579",1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4
"F1580",1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,6
"F1581",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F1582",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
"F1583",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F1585",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1586",1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5
"F1587",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
"F1588",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4
"F1589",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F1605",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4
"F1606",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1607",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
"F1608",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4
"F1609",1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,5
"F1610",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F1612",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
"F1613",1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4
"F1615",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"F1616",0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,6
"F1617",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
"F1618",1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,5
"F1619",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F1620",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1622",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
"F1623",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1624",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F1625",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F1626",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4
"F1371",0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,4
"F1380",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3
"F1383",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
"F1384",1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,6
"F1387",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F1393",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1394",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F1397",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F1404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F1413",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
"F1414",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F1415",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
"F1488",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F1495",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F1499",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F1292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F1293",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
"F1306",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,4
"F1307",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
"F1309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F1312",1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,5
"F1313",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F1314",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F1316",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F1318",1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,6
"F1319",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F1321",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1322",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1327",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
"F1336",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
"F1726",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F1727",1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4
"F1730",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"F1734",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
"F1735",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F1848",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
"F1858",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
"F1861",1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4
"F1863",1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,6
"F1868",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1871",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3
"F1872",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"F1873",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4
"F1874",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F1724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
