"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0736",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0737",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0738",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0739",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0740",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0741",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0748",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0749",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"F0750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0755",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"F0760",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0602",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"F0604",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"F0605",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
"F0607",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
"F0608",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"F0609",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4
"F0612",0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,5
"F0613",0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,4
"F0615",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
"F0616",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
"F0619",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"F0621",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3
"F0622",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3
"F0623",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
