"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa83ce4b0c9d6adf73038",418,184,7,0,0,1,44,0,50,0,13,2,279,1,0,23,2,13,0,6,0
"13767.58cfa830e4b0c9d6adf6c0ce",1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72f98",10,20,0,0,0,0,12,0,5,0,3,0,68,0,0,0,0,2,0,1,0
"13767.58cfa832e4b0c9d6adf6d18c",3,83,0,0,0,0,10,0,19,1,0,0,11,0,0,0,0,0,0,3,0
"13767.58cfa832e4b0c9d6adf6d3a7",51,293,8,0,1,0,365,0,90,0,35,10,531,6,0,14,4,1,0,30,1
"13767.58cfa830e4b0c9d6adf6c2f9",2,104,0,0,0,0,5,0,23,0,0,0,3,0,0,0,1,0,0,7,0
"13767.58cfa83ce4b0c9d6adf72e14",5,326,0,0,0,0,32,0,82,0,0,0,70,0,1,0,0,0,0,17,0
"13767.58cfa832e4b0c9d6adf6d24c",104,84,0,1,0,0,194,0,43,0,67,1,383,1,0,1,0,2,0,2,0
"13767.58cfa83ce4b0c9d6adf72f8d",8,38,0,0,0,0,5,0,7,0,0,0,35,0,0,0,5,1,0,1,0
"13767.58cfa83ce4b0c9d6adf731b2",0,51,0,0,0,0,5,0,10,0,0,0,1,0,0,0,1,0,0,9,0
"13767.58cfa83ce4b0c9d6adf72e8c",147,1295,1,0,0,0,102,0,314,2,5,0,77,1,2,0,1,0,0,53,0
"13767.58cfa830e4b0c9d6adf6bfb8",418,184,7,0,0,1,44,0,50,0,13,2,279,1,0,23,2,13,0,6,0
"13767.58cfa83ce4b0c9d6adf73063",94,469,283,4,1,3,65,4,107,0,5,1,26,3,0,4,1,2,0,6,3
"13767.58cfa83ce4b0c9d6adf72e7c",60,64,2,0,0,0,316,0,97,0,4,0,74,0,0,0,0,1,0,1,0
"13767.58cfa832e4b0c9d6adf6d2b1",31,7,0,0,0,0,11,0,8,0,0,0,25,0,0,0,0,0,0,2,0
"13767.58cfa830e4b0c9d6adf6c0b8",10,40,1,0,0,0,3,0,6,0,0,0,35,0,0,0,1,1,0,1,0
"13767.58cfa83ce4b0c9d6adf73106",1570,1039,52,5,14,7,139416,15,121,0,54,6,43,24,3,78,129,16,0,9,8
"13767.58cfa83ce4b0c9d6adf72fc6",195,389,2,0,0,0,258,0,134,0,7,3,421,0,0,3,1,13,0,43,0
"13767.58cfa831e4b0c9d6adf6c44f",758,911,36,9,3,0,837,3,303,1,5,1,565,6,1,10,285,431,0,21,0
"13767.58cfa832e4b0c9d6adf6d24a",43,11,0,0,0,0,19,0,6,0,0,0,66,0,0,0,0,0,0,1,0
"13767.58cfa832e4b0c9d6adf6d15e",159,1322,14,2,1,0,300,4,379,4,37,7,246,5,9,3,4,6,0,51,2
"13767.58cfa831e4b0c9d6adf6c374",173,280,5,0,0,0,845,0,303,1,20,2,203,2,0,0,4,2,0,5,0
"13767.58cfa832e4b0c9d6adf6d11c",0,49,0,0,0,0,3,0,12,0,0,0,0,0,0,0,1,0,0,10,0
"13767.58cfa833e4b0c9d6adf6d95b",25,50,0,0,0,0,6,0,13,0,0,0,62,2,0,0,0,0,0,2,0
"13767.58cfa831e4b0c9d6adf6cd38",6,167,0,0,0,0,427,0,39,0,0,0,13,1,0,0,0,2,0,8,0
"13767.58cfa83ce4b0c9d6adf72ff6",758,911,36,9,3,0,837,3,303,1,5,1,565,6,1,10,285,431,0,21,0
"13767.58cfa83ce4b0c9d6adf72f30",33,555,28,2,1,0,67,5,125,0,54,1,131,5,5,9,1,2,1,28,1
"13767.58cfa831e4b0c9d6adf6c385",195,389,2,0,0,0,258,0,134,0,7,3,421,0,0,3,1,13,0,43,0
"13767.58cfa832e4b0c9d6adf6d285",1570,1039,52,5,14,7,139416,15,121,0,54,6,43,24,3,78,129,16,0,9,8
"13767.58cfa83ce4b0c9d6adf7308a",2,45,0,1,0,0,3,0,11,0,0,0,7,1,0,2,0,0,0,2,0
"13767.58cfa831e4b0c9d6adf6c4dc",33,555,28,2,1,0,67,5,125,0,54,1,131,5,5,9,1,2,1,28,1
"13767.58cfa83ce4b0c9d6adf72de8",0,11,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf731a0",6,167,0,0,0,0,427,0,39,0,0,0,13,1,0,0,0,2,0,8,0
"13767.58cfa83ce4b0c9d6adf72fbe",399,19,2,0,0,0,27,0,6,0,1,0,24,0,0,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6d197",5,125,0,1,0,0,11,0,35,0,0,1,22,1,0,2,0,0,0,6,0
"13767.58cfa830e4b0c9d6adf6c0c4",26,235,0,0,0,0,23,0,83,0,6,1,173,4,0,6,0,1,0,36,0
"13767.58cfa831e4b0c9d6adf6c58c",1,12,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa831e4b0c9d6adf6caa4",393,21,2,0,0,0,24,0,6,0,1,0,25,0,0,0,0,0,0,0,0
"13767.58cfa831e4b0c9d6adf6ca6c",24,8,1,0,0,0,27,0,9,0,0,0,5,0,0,0,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf7317a",4,47,0,0,0,0,4,0,19,0,0,0,46,0,0,2,0,0,0,10,0
"13767.58cfa83ce4b0c9d6adf73013",15,69,0,0,0,0,12,0,14,0,0,0,7,0,0,0,0,10,0,10,0
"13767.58cfa830e4b0c9d6adf6c03a",5,293,0,0,0,0,28,0,76,0,0,1,1269,0,0,1,1,0,0,11,0
"13767.58cfa830e4b0c9d6adf6c314",2,8,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0
"13767.58cfa830e4b0c9d6adf6bf92",252,47,0,0,0,0,35,0,24,0,4,0,75,0,0,0,0,3,0,3,0
"13767.58cfa831e4b0c9d6adf6ca4e",6,4,0,0,0,0,8,0,1,0,2,0,286,0,0,0,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf7317c",3,115,0,0,0,0,8,0,33,0,0,0,547,0,0,1,0,0,0,4,0
"13767.58cfa83ce4b0c9d6adf7317e",1370,289,0,0,0,0,109,0,76,0,2,2,824,1,1,0,1,14,0,16,0
"13767.58cfa832e4b0c9d6adf6d05a",3,84,0,0,0,0,13,0,49,0,18,0,74,0,0,2,0,0,0,2,0
"13767.58cfa83ce4b0c9d6adf73028",668,84,0,0,0,0,45,0,15,0,0,0,230,2,0,0,0,0,0,9,0
"13767.58cfa832e4b0c9d6adf6d08c",0,24,0,0,0,0,13,0,7,0,1,0,13,0,0,0,0,1,0,3,0
"13767.58cfa83ce4b0c9d6adf72de2",84,7,0,0,0,0,5,0,3,0,2,0,26,0,0,0,0,2,0,0,0
"13767.58cfa831e4b0c9d6adf6c9bc",14,23,2,0,0,0,47,0,6,0,4,0,42,0,0,0,0,0,0,4,0
"13767.58cfa831e4b0c9d6adf6c49e",1370,289,0,0,0,0,109,0,76,0,2,2,824,1,1,0,1,14,0,16,0
"13767.58cfa83ce4b0c9d6adf72d6e",966,50,0,0,0,0,28,0,16,0,0,0,267,1,0,1,0,7,0,4,0
"13767.58cfa832e4b0c9d6adf6d44a",284,608,6,1,1,0,197,1,183,1,21,4,328,220,3,8,4,1,0,57,1
"13767.58cfa83ce4b0c9d6adf7319c",375,64,9,0,1,0,267,0,44,0,38,0,515,2,0,2,1,15,0,10,0
"13767.58cfa832e4b0c9d6adf6d4d5",111,350,0,0,0,0,138,0,109,0,32,1,7432,0,2,3,2,1,0,42,1
"13767.58cfa83ce4b0c9d6adf72ffa",0,15,0,0,0,0,0,0,2,0,2,0,13,0,0,0,0,0,0,0,0
"13767.58cfa831e4b0c9d6adf6c4cc",664,75,0,0,0,0,51,0,14,0,0,0,235,2,0,0,0,0,0,9,0
"13767.58cfa831e4b0c9d6adf6c3e0",673,380,7,0,1,0,151,0,168,0,4,0,325,0,2,16,3,26,0,76,0
"13767.58cfa83ce4b0c9d6adf72e44",2,64,0,0,0,0,5,0,19,0,3,2,78,0,0,2,1,0,0,8,0
"13767.58cfa830e4b0c9d6adf6bfac",1187,220,0,0,0,0,49,0,94,1,3,0,344,7,2,0,1,9,0,13,0
"13767.58cfa83ce4b0c9d6adf72e7a",197,1190,14,2,3,0,726,4,256,1,71,3,260,9,3,14,4,2,0,8,1
"13767.58cfa830e4b0c9d6adf6c152",1879,153,0,0,0,0,74,0,56,0,2,0,629,3,0,2,3,10,0,13,0
"13767.58cfa83ce4b0c9d6adf731c0",285,200,2,0,0,0,82,0,44,0,3,1,1303,0,0,0,1,8,0,17,0
"13767.58cfa831e4b0c9d6adf6c4d8",535,114,11,0,1,0,411,0,75,0,62,1,799,9,0,3,2,20,0,14,0
"13767.58cfa83ce4b0c9d6adf72e1b",673,380,7,0,1,0,151,0,168,0,4,0,325,0,2,16,3,26,0,76,0
"13767.58cfa832e4b0c9d6adf6d050",10,437,0,0,0,0,33,0,99,0,3,0,26,0,2,0,0,0,0,41,0
"13767.58cfa831e4b0c9d6adf6c58e",2339,106,4,0,0,0,58,0,32,0,5,2,119,17,0,1,0,9,0,9,0
"13767.58cfa831e4b0c9d6adf6ca34",128,199,5,0,0,0,781,0,87,1,4,1,176,1,0,2,1,0,0,21,1
"13767.58cfa83ce4b0c9d6adf731ea",1187,220,0,0,0,0,49,0,94,1,3,0,344,7,2,0,1,9,0,13,0
"13767.58cfa832e4b0c9d6adf6d232",1,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
"13767.58cfa831e4b0c9d6adf6c380",65,333,3,1,1,0,232,0,65,0,19,1,70,1,2,2,0,0,0,3,0
"13767.58cfa83ce4b0c9d6adf72e5e",2339,106,4,0,0,0,58,0,32,0,5,2,119,17,0,1,0,9,0,9,0
"13767.58cfa831e4b0c9d6adf6c623",285,200,2,0,0,0,82,0,44,0,3,1,1303,0,0,0,1,8,0,17,0
"13767.58cfa83ce4b0c9d6adf72fab",177,127,7,0,0,0,784,0,212,0,21,1,712,18,1,11,1,0,0,3,0
"13767.58cfa832e4b0c9d6adf6d4d1",125,80,8,0,1,1,26,1,46,1,5,0,26,2,1,8,3,6,0,1,0
"13767.58cfa83ce4b0c9d6adf72fed",2,138,0,0,0,0,7,0,27,0,0,0,14,0,0,0,0,0,0,13,0
"13767.58cfa832e4b0c9d6adf6d39c",323,575,11,1,0,1,191,3,180,1,39,0,432,4,3,3,5,3,0,48,2
"13767.58cfa830e4b0c9d6adf6bf98",2591,881,3,0,0,0,158,0,204,0,193,1,640,6,1,4,1,18,0,51,0
"13767.58cfa832e4b0c9d6adf6d444",56,272,20,0,0,0,58,0,83,1,7,3,751,0,2,0,2,2,0,13,0
"13767.58cfa832e4b0c9d6adf6d2bc",141,80,4,0,0,0,11,0,75,0,1,1,20,2,0,1,0,1,0,7,0
"13767.58cfa832e4b0c9d6adf6d076",177,127,7,0,0,0,784,0,212,0,21,1,712,18,1,11,1,0,0,3,0
"13767.58cfa831e4b0c9d6adf6c618",417,139,0,0,0,0,31,0,34,0,0,0,87,0,0,0,0,4,0,13,0
"13767.58cfa831e4b0c9d6adf6c732",180,53,1,0,0,0,25,0,25,0,4,1,360,6,0,0,0,5,0,17,0
"13767.58cfa830e4b0c9d6adf6c0c8",21,233,0,0,0,0,123,0,109,0,16,0,307,0,11,1,0,7,0,3,1
"13767.58cfa83ce4b0c9d6adf72fb0",960,383,1,0,0,0,82,0,107,0,0,1,222,1,1,0,1,8,0,35,0
"13767.58cfa832e4b0c9d6adf6d3d4",9,4,0,0,0,0,1,0,4,0,2,0,209,0,0,0,0,0,0,3,0
"13767.58cfa83ce4b0c9d6adf731fe",141,80,4,0,0,0,11,0,75,0,1,1,20,2,0,1,0,1,0,7,0
