"","Mucoromycota","Basidiomycota","other","Ascomycota","diversity"
"F0608",0,0.576761380110177,0,0.423238619889823,2
"F0609",0,0.16293443790046,0,0.837065562099541,2
"F0574",0,0.013892893653831,0,0.986107106346169,2
"F0612",0,0.265777540028935,0,0.734222459971065,2
"F0613",0,0.117745862483435,0,0.882254137516565,2
"F0616",0,0.0593992754457603,0,0.94060072455424,2
"F0575",0,0.0137077135899576,0,0.986292286410042,2
"F0623",0,0.277741319651593,0,0.722258680348407,2
"F0624",0,0,0.453938730853392,0.546061269146608,2
"F0625",0,1,0,0,1
"F0629",0,0,0,1,1
"F0576",0,0.0818809426119842,0,0.918119057388016,2
"F0630",0,0.319389616851883,0.439840769613535,0.240769613534583,3
"F0634",0,0.228313507922328,0,0.771686492077672,2
"F0637",0,0.604659824532362,0,0.395340175467638,2
"F0641",0,0,0,1,1
"F0643",0,0.43692788568877,0,0.56307211431123,2
"F0644",0,0.322466146403131,0,0.677533853596869,2
"F0646",0,0.0816699370728737,0,0.918330062927126,2
"F0648",0,0.290745393634841,0,0.709254606365159,2
"F0651",0,0,0,1,1
"F0653",0,1,0,0,1
"F0656",0,1,0,0,1
"F0658",0,0.47710364859658,0,0.52289635140342,2
"F0660",0,0.227451823196504,0,0.772548176803496,2
"F0661",0,0.81493834647261,0,0.18506165352739,2
"F0666",0,0.618618985140207,0,0.381381014859793,2
"F0868",0,0.699983774135973,0,0.300016225864027,2
"F0871",0,0.522247073379652,0,0.477752926620348,2
"F0875",0,0.416022368288934,0,0.583977631711066,2
"F0877",0,0.468853019462284,0,0.531146980537716,2
"F0860",0,0.173979042209382,0,0.826020957790618,2
"F0878",0,0.227188683648375,0,0.772811316351625,2
"F0880",0,0.266603189716734,0.0468221851940014,0.686574625089264,3
"F0883",0,0.587753641910289,0,0.412246358089711,2
"F0885",0,0.54928366415172,0,0.45071633584828,2
"F0887",0,0.462202959198924,0,0.537797040801076,2
"F0901",0,0,0,1,1
"F0902",0,1,0,0,1
"F0903",0,1,0,0,1
"F0904",0,0,0,1,1
"F0907",0,1,0,0,1
"F0863",0,0.0235027199383305,0,0.976497280061669,2
"F0909",0,0,0,1,1
"F0922",0,0.170950113624067,0,0.829049886375933,2
"F0923",0,1,0,0,1
"F0928",0,0.570973866428412,0,0.429026133571588,2
"F0930",0,0,0,1,1
"F0931",0,0,0,1,1
"F0866",0,0.435713118771443,0,0.564286881228557,2
"F0944",0,0.8064226843746,0,0.1935773156254,2
"F0945",0,0,0,1,1
"F0946",0,0.337035767696909,0,0.662964232303091,2
"F0947",0,1,0,0,1
"F0948",0,0,0,1,1
"F0950",0,0,0,1,1
"F0951",0,0.629527423249396,0,0.370472576750604,2
"F0952",0,0.458837772397094,0,0.541162227602906,2
"F0953",0,0,0,1,1
"F1150",0,1,0,0,1
"F1151",0,1,0,0,1
"F1152",0,0.555712014865247,0,0.444287985134753,2
"F1153",0,0,0,1,1
"F1156",0,0,0,1,1
"F1157",0,0,0,1,1
"F1158",0,0.908606557377049,0,0.0913934426229508,2
"F1159",0,1,0,0,1
"F1162",0,1,0,0,1
"F1164",0,0,0,1,1
"F1165",0,0.558732772981978,0,0.441267227018022,2
"F1166",0,1,0,0,1
"F1167",0,0,0,1,1
"F1168",0,0,0,1,1
"F1169",0,1,0,0,1
"F1170",0,0.740217292618709,0,0.259782707381291,2
"F1173",0,1,0,0,1
"F1182",0,0,0,1,1
"F1186",0,0.941043582155143,0,0.0589564178448566,2
"F1193",0,1,0,0,1
"F1218",0,0.0380711574064069,0,0.961928842593593,2
"F1219",0,0.951765482816882,0,0.0482345171831179,2
"F1222",0,1,0,0,1
"F1223",0,0,0,1,1
"F1224",0,1,0,0,1
"F1229",0,1,0,0,1
"F1230",0,1,0,0,1
"F1232",0,0,0,1,1
"F1235",0,0,0,1,1
"F1238",0,1,0,0,1
"F1239",0,0,0,1,1
"F1051",0,0.0677102477977058,0.932289752202294,0,2
"F1052",0,0.700555791775497,0,0.299444208224503,2
"F1053",0,1,0,0,1
"F1054",0,0,0,1,1
"F1058",0,0.346855041305392,0,0.653144958694608,2
"F1061",0,0,0,1,1
"F1063",0,0.862289507772021,0,0.137710492227979,2
"F1064",0,0.383599848427435,0,0.616400151572565,2
"F1065",0,0.609683572710952,0,0.390316427289048,2
"F1066",0,0,0,1,1
"F1070",0,0,0,1,1
"F1074",0,0,0,1,1
"F1076",0,0.886308536429756,0,0.113691463570244,2
"F1077",0,0,0,1,1
"F1078",0,0.311791809676054,0,0.688208190323946,2
"F1079",0,0.180614605732328,0,0.819385394267672,2
"F1081",0,0,0,1,1
"F1082",0,0.421025977679827,0,0.578974022320173,2
"F1083",0,0,0,1,1
"F1092",0,0,0,1,1
"F1094",0,1,0,0,1
"F1120",0,0.881119438686015,0,0.118880561313985,2
"F1123",0,1,0,0,1
"F1129",0,0.211108878395124,0,0.788891121604876,2
"F1137",0,0,0,1,1
"F1138",0,0.420156995875948,0,0.579843004124052,2
"F1145",0,1,0,0,1
"F1147",0,1,0,0,1
"F1149",0,1,0,0,1
"F1551",0,0,0,1,1
"F1553",0,0.186262862205755,0,0.813737137794245,2
"F1555",0,0.38741238317757,0,0.61258761682243,2
"F1557",0,0.736404545801236,0,0.263595454198764,2
"F1558",0,0,0,1,1
"F1561",0,0.265777488614183,0.371688818663445,0.362533692722372,3
"F1563",0,0.339705700107224,0,0.660294299892776,2
"F1565",0,0.220885500454641,0,0.779114499545359,2
"F1573",0,0.330105973025048,0,0.669894026974952,2
"F1575",0,0.420545746388443,0,0.579454253611557,2
