"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0607",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
"F0608",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"F0609",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4
"F0574",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
"F0612",0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,5
"F0613",0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,4
"F0616",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
"F0575",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
"F0623",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
"F0624",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0625",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0629",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0576",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F0630",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
"F0634",1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,6
"F0637",1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,5
"F0641",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
"F0643",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3
"F0644",1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5
"F0646",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F0648",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"F0651",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0653",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0656",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"F0658",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F0660",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0661",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"F0666",1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,5
"F0868",1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4
"F0871",1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,6
"F0875",1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,7
"F0877",1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4
"F0860",1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,6
"F0878",1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,6
"F0880",1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,6
"F0883",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F0885",1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,7
"F0887",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
"F0901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0902",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0903",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0907",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0863",1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,6
"F0909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0922",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0923",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0928",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0866",1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,7
"F0944",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
"F0945",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
"F0946",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
"F0947",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0951",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"F0952",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0953",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F1150",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
