"","Dothideales","Eremomycetales","Mycosphaerellales","Fungi_Ascomycota_Dothideomycetes_other","Pleosporales","Venturiales","Chaetothyriales","Eurotiales","Onygenales","Helotiales","Orbiliales","Fungi_Ascomycota_other_other","Pneumocystidales","Saccharomycetales","Schizosaccharomycetales","Glomerellales","Hypocreales","Magnaporthales","Microascales","Ophiostomatales","Sordariales","Togniniales","Xylariales","Xylonales","Agaricales","Boletales","Corticiales","Gloeophyllales","Polyporales","Russulales","Entylomatales","Georgefischeriales","Microstromatales","Malasseziales","Sporidiobolales","Pucciniales","Tremellales","Trichosporonales","Ustilaginales","Wallemiales","Fungi_Microsporidia_other_other","Glomerales","Mucorales"
"13767.58cfa835e4b0c9d6adf6f2cc",0,0,0,0,0,0,1,26,3,0,0,0,0,3,0,0,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0
"13767.58cfa839e4b0c9d6adf71334",0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70cda",0,0,0,0,0,0,0,9,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e90f",0,0,0,0,1,0,0,36,6,0,0,0,0,6,0,0,6,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70d3c",0,0,0,0,3,1,0,195,42,0,0,0,0,39,0,0,24,54,0,0,24,0,0,2,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,12,0
"13767.58cfa83ae4b0c9d6adf71687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"13767.58cfa835e4b0c9d6adf6ebb0",0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70d88",0,0,0,0,0,0,0,11,2,0,0,0,0,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"13767.58cfa83ae4b0c9d6adf71c06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa839e4b0c9d6adf71142",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf7175d",0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70d8d",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa839e4b0c9d6adf71496",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71bfb",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf7176f",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71c0a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf7188e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf7163d",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf723f8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa835e4b0c9d6adf6ed20",0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa835e4b0c9d6adf6ebd0",0,0,0,0,1,0,0,26,5,0,0,0,0,3,0,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"13767.58cfa835e4b0c9d6adf6f2c8",0,0,0,0,0,0,0,12,2,0,0,0,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"13767.58cfa839e4b0c9d6adf7101a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
