"","Exophiala","Wickerhamomyces","Phialocephala","Rhinocladiella","Rhizopus","Diutina","Pyrenophora","Coprinopsis","Yamadazyma","Malassezia","Sporisorium","Puccinia","Cutaneotrichosporon","Stereum","Trametes","Pneumocystis","Aureobasidium","Dissoconium","Debaryomyces","Cyphellophora","Candida","Pseudozyma","Colletotrichum","Hyphopichia","Cyberlindnera","Torulaspora","Aspergillus","Saccharomyces","Trichosporon","Alternaria","Moesziomyces","Ramularia","Talaromyces","Paraphaeosphaeria","Cryptococcus","Agaricus","Schizophyllum","Rhodotorula","Postia","Purpureocillium","Penicillium","Yarrowia","Trichoderma","Tilletiopsis","Byssochlamys","Cercospora","Fusarium","Phialophora","Meyerozyma","Phanerochaete","Beauveria","Parastagonospora","Gloeophyllum","Ustilago","diversity"
"F0127",0,0,0,0,0,0,0,0,0,0.0792420646692376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101972708395135,0,0,0,0,0,0,0,0,0,0,0.0598338771877781,0,0,0,0.850726787303471,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0129",0,0,0,0,0,0,0,0,0,0.136025192815778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863974807184222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0132",0,0,0,0,0,0,0,0,0,0.866419466975666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133580533024334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0134",0,0,0,0,0,0,0,0,0,0.932989085788053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067010914211947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0136",0,0,0,0,0,0,0,0,0,0.648576841830179,0,0,0,0,0,0,0,0,0.217143230471047,0,0,0,0,0,0,0,0.0706679152420567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636120124567173,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188363910530284,0,0,0,0,0,0,0,0.811636089469716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0140",0,0,0,0.0948660714285714,0,0,0,0,0,0.399210164835165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505923763736264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0146",0,0,0,0,0,0,0,0,0,0.558416584587965,0,0,0,0,0,0,0,0,0,0,0,0.199756109000516,0,0,0,0,0.241827306411519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0148",0,0,0,0,0,0,0,0,0,0.630559540889527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369440459110473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579219049204896,0,0,0,0,0.420780950795104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0157",0,0,0,0,0,0,0,0,0,0.887809564474808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112190435525192,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0166",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0169",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0177",0,0,0,0,0,0,0,0,0,0.691133004926108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308866995073892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413968957871397,0,0,0,0,0,0.586031042128603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0291",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
