"","Aureobasidium","Eremomyces","Ramularia","Sphaerulina","Baudoinia","Bonordeniella","Macroventuria","Leptosphaeria","Parastagonospora","Alternaria","Bipolaris","Pyrenophora","Verruconis","Cyphellophora","Capronia","Cladophialophora","Exophiala","Fonsecaea","Rhinocladiella","Aspergillus","Penicillium","Byssochlamys","Rasamsonia","Talaromyces","Blastomyces","Histoplasma","Arthroderma","Microsporum","Nannizzia","Trichophyton","Uncinocarpus","Coccidioides","Paracoccidioides","Glarea","Phialocephala","Botrytis","Sclerotinia","Arthrobotrys","Saitoella","Pneumocystis","Ascoidea","Babjeviella","Candida","Debaryomyces","Hyphopichia","Lodderomyces","Meyerozyma","Scheffersomyces","Spathaspora","Suhomyces","Yamadazyma","Yarrowia","Clavispora","Metschnikowia","Diutina","Cyberlindnera","Komagataella","Wickerhamomyces","Ogataea","Pichia","Eremothecium","Kazachstania","Kluyveromyces","Lachancea","Nakaseomyces","Naumovozyma","Saccharomyces","Tetrapisispora","Torulaspora","Vanderwaltozyma","Sugiyamaella","Schizosaccharomyces","Colletotrichum","Verticillium","Metarhizium","Cordyceps","Trichoderma","Fusarium","Purpureocillium","Pyricularia","Scedosporium","Sporothrix","Chaetomium","Podospora","Thermothelomyces","Neurospora","Sordaria","Phaeoacremonium","Pestalotiopsis","Xylona","Agaricus","Coprinopsis","Schizophyllum","Coniophora","Serpula","Punctularia","Gloeophyllum","Trametes","Heterobasidion","Stereum","Tilletiopsis","Tilletiaria","Pseudomicrostroma","Malassezia","Rhodotorula","Puccinia","Cryptococcus","Kwoniella","Kockovaella","Tremella","Cutaneotrichosporon","Trichosporon","Anthracocystis","Kalmanozyma","Moesziomyces","Pseudozyma","Sporisorium","Ustilago","Wallemia","Vittaforma","Mitosporidium","Encephalitozoon","Rhizophagus","Phycomyces","Rhizopus"
"13767.58cfa83ce4b0c9d6adf72c60",0,2,8480,8,7,0,30,24,65,29,2,0,0,0,0,0,5,11,0,108,4,6,0,15,9,8,6,4,3,8,10,7,19,3,2,3,7,2,2,9,0,0,10,5,2,4,3,3,2,0,0,0,18,1,4,0,0,2,4,2,1,1,3,3,0,3,3,1,2,3,5,19,14,0,17,1,5,60,0,5,1,1,6,0,5,6,4,6,3,0,7,3,0,1,9,3,3,2,1,4,0,0,2,130,10,9,28,0,5,5,0,4514,1,1,2,1,9,0,36,0,1,0,13,3,0
"13767.58cfa834e4b0c9d6adf6e710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72aaa",0,0,24182,5,4,0,1,2,11,8,1,0,1,0,0,1,2,2,0,152,27,11,0,14,6,7,5,5,4,6,7,8,19,0,1,3,3,0,1,0,0,0,5,1,0,1,1,1,1,0,0,0,9,0,2,0,0,1,1,1,1,0,2,1,0,0,3,1,1,1,2,3,12,0,3,1,5,28,0,4,1,1,1,0,1,3,1,0,2,0,2,1,1,0,1,0,1,1,1,2,0,0,1,38,3,1,4,0,5,2,0,13380,0,1,1,1,2,0,4,0,0,0,2,1,0
"13767.58cfa834e4b0c9d6adf6e429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e4e0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e6a5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa835e4b0c9d6adf6ea90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72a47",5,0,2190,5,4,0,7,5,23,4,4,0,0,0,1,0,1,3,0,84,2,3,0,8,6,5,2,3,2,7,5,5,12,1,1,2,3,2,0,3,0,0,5,1,1,5,2,1,1,0,0,0,18,1,3,0,0,1,4,1,1,0,2,3,0,1,4,2,1,2,3,3,12,1,8,1,4,296,0,9,2,1,4,0,3,7,2,2,1,0,2,1,0,0,4,1,1,2,1,2,0,0,2,98,23,4,12,0,5,1,0,1224,1,1,2,1,8,0,2,0,1,0,6,3,0
"13767.58cfa83be4b0c9d6adf728b2",3,19,2119,33,23,11,42,99,393,115,27,8,1,0,1,2,26,52,0,779,9,29,1,111,45,50,41,47,36,33,92,73,133,18,10,18,41,19,29,73,0,0,102,20,1,37,21,17,20,0,0,0,149,5,23,0,0,14,24,15,9,6,26,23,6,17,11,10,15,16,54,188,69,3,93,2,12,34890,0,7,5,6,26,1,12,15,13,6,20,0,60,26,1,14,93,8,27,15,10,26,0,0,20,205,141,24,316,0,82,43,1,1194,10,11,8,10,98,5,186,0,16,2,112,28,0
"13767.58cfa838e4b0c9d6adf70df2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
