"","Tritirachiomycetes","Cystobasidiomycetes","other","Malasseziomycetes","Pucciniomycetes","other","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","other","Lecanoromycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Arthoniomycetes","Exobasidiomycetes","Agaricostilbomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0132",0,0,0,18693,0,0,0,6574,0,0,2882,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0134",0,0,0,119250,0,0,0,0,0,0,8565,0,0,0,0,0,0,0,0,0,0,0,36655,3
"F0136",0,0,0,29782,0,0,0,0,0,0,6166,0,0,0,0,9971,2477,0,0,0,0,0,35498,5
"F0138",0,0,0,0,0,0,0,0,0,0,51672,0,0,0,0,11992,0,0,0,0,0,0,7609,3
"F0140",0,0,0,4650,0,0,0,0,0,0,1105,0,0,0,0,5893,0,0,0,0,0,0,0,3
"F0142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3426,24480,0,0,0,0,0,0,2
"F0146",0,0,0,11906,0,0,0,0,0,4259,5156,0,0,0,0,0,5078,0,0,0,0,0,0,4
"F0148",0,0,0,1758,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0151",0,0,0,0,0,0,0,0,0,0,0,0,9491,0,0,12011,0,0,0,0,0,2966,57604,4
"F0153",0,0,0,0,0,0,0,0,0,0,1446120,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7330,0,0,0,0,0,0,0,1
"F0157",0,0,0,8317,0,0,0,0,0,0,1051,0,0,0,0,0,0,0,0,0,0,0,9899,3
"F0163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5390,0,0,0,0,0,0,0,1
"F0166",0,0,0,1285,0,0,0,0,0,0,0,0,10144,0,0,0,0,0,0,0,0,0,0,2
"F0168",0,0,0,0,0,0,0,0,0,0,1304,0,4978,0,0,0,0,0,0,0,0,0,0,2
"F0169",0,0,0,6312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0177",0,0,0,14030,0,0,0,0,0,0,0,0,96460,0,0,6270,0,0,0,0,0,0,24000,4
"F0179",0,0,0,0,0,0,0,0,0,0,0,0,16456,0,0,0,0,0,0,0,0,0,6755,2
"F0182",0,0,0,0,0,0,0,0,0,7656,0,0,0,0,0,5286,0,0,0,0,0,4366,0,3
"F0184",0,0,0,0,0,0,0,0,0,0,0,0,7263,0,0,0,0,0,0,0,0,0,0,1
