"","Tritirachiomycetes","Cystobasidiomycetes","other","Malasseziomycetes","Pucciniomycetes","other","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","other","Lecanoromycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Arthoniomycetes","Exobasidiomycetes","Agaricostilbomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98432110042448,0,0,0,0,0,0,0.0156788995755199,2
"F0340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976289595236033,0,0,0,0,0,0,0.0237104047639675,2
"F0345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0351",0,0,0,0.0228399968650985,0,0,0,0,0,0,0,0,0,0,0,0.977160003134901,0,0,0,0,0,0,0,2
"F0353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0356",0,0,0,0,0,0,0,0.0164312162030172,0,0,0,0,0,0,0,0.983568783796983,0,0,0,0,0,0,0,2
"F0368",0,0,0,0.0828951042442293,0,0,0,0,0,0.102952810871184,0,0,0,0,0,0.526677680565897,0,0,0,0,0,0,0.287474404318689,4
"F0369",0,0,0,0.0278879120458159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972112087954184,2
"F0374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0388",0,0,0,0,0,0,0,0,0,0,0.717707302880419,0,0,0,0,0,0.0975269130055281,0,0,0,0,0,0.184765784114053,3
"F0391",0,0,0,0,0,0,0,0,0,0,0.200615746819396,0,0,0,0,0,0,0,0,0,0,0,0.799384253180604,2
"F0396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192214700193424,0,0,0,0,0,0,0.807785299806576,2
"F0397",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0398",0,0,0,0.0546051692131943,0,0,0,0,0,0,0.131086677138369,0,0,0,0,0.814308153648436,0,0,0,0,0,0,0,3
"F0405",0,0,0,0.862292187729881,0,0,0,0,0,0,0.137707812270119,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0411",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0414",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0415",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0416",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0419",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0420",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0422",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0424",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0430",0,0,0,0.722223722223722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277776277776278,2
"F0432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0435",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786766563660039,0,0,0,0,0,0.213233436339961,2
"F0439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685096887397009,0,0,0,0,0,0,0.314903112602991,2
"F0444",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0212",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0446",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0458",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0216",0,0,0,0.0385455806694029,0,0,0,0.380010405225736,0,0,0.0337707381929591,0,0,0,0,0.141106422336551,0.120781548066362,0,0,0.0598069252557951,0,0.147488294121047,0.0784900861321464,8
"F0219",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
