"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0566",5328,0,0,0,0,0,0,0,0,5594,0,0,0,0,22461,3
"F0567",1444,0,0,0,0,0,0,0,0,0,0,0,0,0,8557,2
"F0568",2312,0,0,0,0,0,0,0,0,2566,0,0,0,0,0,2
"F0569",0,0,0,0,0,0,31708,0,0,0,0,0,0,0,0,1
"F0580",8841,0,0,0,0,0,0,0,0,45148,0,0,0,0,0,2
"F0770",64815,0,0,0,0,0,0,0,0,10010,0,0,0,0,0,2
"F0581",0,0,0,197440,0,0,10170,0,0,8890,0,0,0,0,63715,4
"F0777",8626,0,0,0,0,0,0,0,0,0,0,0,0,0,22919,2
"F0781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264,1
"F0582",0,0,0,0,0,0,0,0,0,1182,0,0,0,0,3644,2
"F0786",26890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0790",0,0,44330,0,0,0,12050,0,1037300,0,0,0,0,0,0,3
"F0794",0,0,0,2651900,0,0,0,0,139040,0,0,0,0,0,902140,3
"F0800",0,0,0,0,0,0,0,0,0,934340,0,0,0,0,0,1
"F0809",10420,0,0,0,0,0,0,0,0,0,51700,0,0,0,821420,3
"F0811",7057,0,0,0,0,0,0,0,0,164172,0,0,0,0,0,2
"F0812",4946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0813",0,0,0,0,0,0,0,0,1195,29873,0,0,0,0,0,2
"F0817",0,0,0,0,0,0,0,0,0,106591,0,0,0,0,0,1
"F0818",16132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0586",0,0,0,0,0,0,605580,0,0,0,0,0,0,0,537020,2
"F0826",0,0,0,0,0,0,0,0,0,0,361400,0,0,224840,53220,3
"F0827",0,0,0,0,0,0,0,0,76580,0,0,0,0,0,981220,2
"F0829",0,0,0,0,0,229440,0,0,23230,70240,0,0,0,0,0,3
"F0830",22879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0832",0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,1
"F0833",0,0,0,10249,0,0,0,0,0,0,0,0,0,0,0,1
"F0836",0,0,0,0,0,0,0,0,0,0,0,0,0,63460,136495,2
"F0837",0,0,0,0,0,0,1259,0,0,0,0,0,0,0,0,1
"F0839",14667,0,0,0,0,0,0,0,0,0,0,0,0,0,37995,2
"F0840",0,0,0,0,0,0,1447960,0,0,0,0,0,0,0,0,1
"F0841",10135,0,0,196040,0,0,0,0,0,0,0,0,0,0,0,2
"F0845",0,0,0,0,0,0,220470,0,0,0,0,0,0,0,0,1
"F0848",0,0,0,0,0,0,0,0,0,364665,0,0,0,0,0,1
"F0850",0,0,0,196585,0,0,5170,0,0,0,0,0,0,0,42910,3
"F0851",22990,0,0,0,0,0,0,0,95080,0,0,0,0,0,0,2
"F0854",22049,0,0,0,0,0,0,0,0,57407,0,0,0,0,0,2
"F0856",0,0,0,0,0,0,68702,0,0,0,0,0,0,0,0,1
"F0858",1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,164622,1
"F0671",15729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0672",340860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0673",91170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,300490,1
"F0675",44133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0676",0,0,0,0,0,0,0,0,0,0,0,0,0,67852,0,1
"F0681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,49584,1
"F0683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,34860,1
"F0689",0,0,0,0,0,0,0,0,0,82379,0,0,0,0,0,1
"F0698",0,0,0,0,0,0,0,0,0,340735,0,0,0,0,0,1
"F0699",125845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0701",0,0,0,0,0,0,0,0,4096360,0,0,0,0,0,0,1
"F0716",0,0,0,0,0,0,16780,0,0,26130,108190,0,0,76290,257040,5
"F0726",0,0,0,0,0,0,26727,0,0,0,0,0,0,0,0,1
