"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa832e4b0c9d6adf6ce7c",4,36,3,0,0,0,12,0,25,0,0,0,22334,0,5,3,28,0,0,1,0
"13722.58cfa832e4b0c9d6adf6ce6e",1,2,0,0,0,0,3,0,10,0,0,0,3007,0,0,2,14,0,0,0,0
"13722.58cfa832e4b0c9d6adf6ce62",6,19,2,0,0,0,19,0,26,0,0,2,16215,0,3,4,44,0,0,1,0
"13722.58cfa832e4b0c9d6adf6cf76",2,13,2,0,0,0,35,0,23,0,0,0,19515,0,3,0,47,2,0,1,1
"13722.58cfa832e4b0c9d6adf6d011",0,5,0,0,0,0,22,0,10,0,0,0,9580,0,0,5,35,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d112",2,5,0,0,0,0,7,0,11,0,0,0,3165,0,1,1,22,0,0,1,0
"13722.58cfa832e4b0c9d6adf6d0d8",1,3,0,0,0,0,13,0,10,0,0,0,3524,0,0,4,28,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d11e",3,15,1,0,1,0,8,0,26,0,0,0,15025,0,1,4,41,0,0,2,0
"13722.58cfa832e4b0c9d6adf6d1bf",3,7,0,0,0,0,5,0,9,0,0,0,3439,0,0,1,19,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d130",3,20,1,0,0,0,14,0,35,1,0,0,12914,0,3,3,42,0,0,1,1
"13722.58cfa832e4b0c9d6adf6d062",5,19,1,0,0,0,22,0,21,0,2,0,10944,0,2,2,40,0,0,1,0
"13722.58cfa832e4b0c9d6adf6d517",7,50,4,0,0,0,19,0,32,0,0,0,18829,0,5,6,37,0,0,2,0
"13722.58cfa832e4b0c9d6adf6d58e",3,11,1,0,0,0,15,0,30,0,0,1,15242,0,3,5,44,0,0,1,0
