"","Aureobasidium","Eremomyces","Ramularia","Sphaerulina","Baudoinia","Bonordeniella","Macroventuria","Leptosphaeria","Parastagonospora","Alternaria","Bipolaris","Pyrenophora","Verruconis","Cyphellophora","Capronia","Cladophialophora","Exophiala","Fonsecaea","Rhinocladiella","Aspergillus","Penicillium","Byssochlamys","Rasamsonia","Talaromyces","Blastomyces","Histoplasma","Arthroderma","Microsporum","Nannizzia","Trichophyton","Uncinocarpus","Coccidioides","Paracoccidioides","Glarea","Phialocephala","Botrytis","Sclerotinia","Arthrobotrys","Saitoella","Pneumocystis","Ascoidea","Babjeviella","Candida","Debaryomyces","Hyphopichia","Lodderomyces","Meyerozyma","Scheffersomyces","Spathaspora","Suhomyces","Yamadazyma","Yarrowia","Clavispora","Metschnikowia","Diutina","Cyberlindnera","Komagataella","Wickerhamomyces","Ogataea","Pichia","Eremothecium","Kazachstania","Kluyveromyces","Lachancea","Nakaseomyces","Naumovozyma","Saccharomyces","Tetrapisispora","Torulaspora","Vanderwaltozyma","Sugiyamaella","Schizosaccharomyces","Colletotrichum","Verticillium","Metarhizium","Cordyceps","Trichoderma","Fusarium","Purpureocillium","Pyricularia","Scedosporium","Sporothrix","Chaetomium","Podospora","Thermothelomyces","Neurospora","Sordaria","Phaeoacremonium","Pestalotiopsis","Xylona","Agaricus","Coprinopsis","Schizophyllum","Coniophora","Serpula","Punctularia","Gloeophyllum","Trametes","Heterobasidion","Stereum","Tilletiopsis","Tilletiaria","Pseudomicrostroma","Malassezia","Rhodotorula","Puccinia","Cryptococcus","Kwoniella","Kockovaella","Tremella","Cutaneotrichosporon","Trichosporon","Anthracocystis","Kalmanozyma","Moesziomyces","Pseudozyma","Sporisorium","Ustilago","Wallemia","Vittaforma","Mitosporidium","Encephalitozoon","Rhizophagus","Phycomyces","Rhizopus"
"13722.58cfa830e4b0c9d6adf6bb82",0,0,0,1,1,0,0,1,17,4,0,0,0,0,0,1,1,1,0,8,0,0,0,1155,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,40,123,0,32,12,11,11,2,1,11,48,1,4,1,0,40,17,8,38,212,270,218,187,542,254467,33,298,144,30,2,1,0,0,0,0,13,0,2,0,0,0,0,0,1,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,14499,2,2,4,0,0,1,0,0,0,0,30,0,1,0,0,0,0,0,1,1,0
"13722.58cfa830e4b0c9d6adf6c046",1,0,0,1,3,0,0,5,22,0,0,0,0,0,0,0,5,1,0,34,1,0,1,1542,0,1,0,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,54,151,1,40,13,15,15,2,1,12,62,1,5,5,0,48,22,13,47,288,363,296,249,725,341595,44,413,190,41,2,1,0,0,0,1,122,0,4,0,0,0,0,1,1,8,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,12258,2,2,2,0,0,0,0,0,0,0,27,1,2,0,0,0,0,0,2,0,0
"13722.58cfa831e4b0c9d6adf6c430",0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,2,0,0,4,0,0,0,803,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,25,79,1,20,7,8,6,1,0,2,30,0,2,2,1,30,11,5,29,140,180,149,109,361,175256,20,204,99,19,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4909,1,0,2,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c41a",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14649,0,3,8,0,0,1,0,0,1,0,38,0,0,0,0,0,0,0,2,0,0
"13722.58cfa831e4b0c9d6adf6c78f",0,0,0,0,2,0,0,2,13,4,0,0,0,0,0,0,1,0,0,4,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,31,103,1,23,6,8,10,1,1,7,44,1,3,1,0,36,15,6,32,181,208,185,147,466,212847,26,258,119,24,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6050,1,0,2,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c7c6",0,0,0,1,0,0,0,5,0,0,2,0,0,0,0,0,2,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,1,0,0,10,0,2,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18071,0,5,7,0,0,0,0,0,2,0,38,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10044,0,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6ba25",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,10,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14677,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6be71",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,9,0,1,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19907,0,4,7,0,0,1,0,0,0,0,18,0,1,0,2,0,0,0,1,0,0
"13722.58cfa830e4b0c9d6adf6bcb3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15276,0,2,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,1,0
"13722.58cfa830e4b0c9d6adf6bed5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4879,0,15,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0
"13722.58cfa830e4b0c9d6adf6c2a2",0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5461,0,0,4,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10620,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c43a",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9659,0,0,1,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c45e",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,8,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,5,0,4,0,0,0,0,1,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,13000,2,2,3,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,1,0,0
"13722.58cfa831e4b0c9d6adf6c8a8",0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,7,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23775,0,3,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c8e1",1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3684,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
