"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa831e4b0c9d6adf6c667",0,2,0,0,0,0,5,0,0,0,0,0,7912,0,0,1,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c746",0,1,0,0,0,0,2,0,0,0,0,0,5840,0,0,0,0,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c77f",4,0,0,0,0,0,1,0,1,0,0,0,3154,0,0,2,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c7f3",4,12,0,0,0,0,12,0,2,0,4,0,6338,0,0,4,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c98e",1,1,0,1,0,0,0,0,0,0,2,0,4992,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf61",32,17,0,0,0,0,151,0,3,0,0,0,10323,0,2,11,0,0,0,3,1
"13722.58cfa830e4b0c9d6adf6bfd3",207,5,0,0,0,0,7,0,0,0,0,0,20657,0,0,84,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c375",39,2,0,0,0,0,0,0,0,0,0,0,4792,0,0,17,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c356",39,2,0,0,0,0,0,0,0,0,0,0,4792,0,0,17,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c3d2",0,0,0,0,0,0,0,0,0,0,0,0,4899,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c3ce",2,1,0,0,0,0,4,0,0,0,0,0,20567,0,0,1,0,0,0,0,2
"13722.58cfa831e4b0c9d6adf6c458",1,3,0,0,0,0,0,0,0,0,0,0,5246,0,0,2,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c47e",4,4,0,0,0,0,4,0,1,0,0,0,9886,0,0,4,0,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c4a2",1,3,0,0,0,0,4,0,0,0,0,0,4774,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c4e7",57,16,0,0,0,0,35,0,2,0,0,1,10653,0,1,19,0,0,0,2,1
"13722.58cfa831e4b0c9d6adf6c55a",1,1,0,0,0,0,0,0,0,0,0,0,4221,0,0,1,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c661",12,5,0,0,0,0,2,0,1,0,0,0,14338,0,0,6,1,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c67d",13,3,0,0,0,0,0,0,0,0,1,0,5547,0,0,3,0,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c718",2,1,0,0,0,0,328,0,0,0,0,0,7217,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c71e",1,2,0,0,0,0,0,0,1,0,0,0,5151,0,0,2,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf16",521,0,0,0,0,0,3,0,0,0,0,0,14891,0,0,253,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf18",213,4,0,0,0,0,1,0,1,0,1,0,17042,0,0,121,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf3c",74,2,0,0,0,0,2,0,0,0,0,0,10319,0,0,42,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf72",105,0,0,0,0,0,2,0,1,0,0,0,6797,0,0,38,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf6a",8,2,0,0,0,0,0,0,0,0,2,0,7207,0,0,3,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf80",6,2,0,1,0,0,0,0,0,0,0,0,4933,0,0,4,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf7a",13,1,0,0,0,0,0,0,0,0,1,0,8370,0,0,6,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bfa8",9,2,0,0,0,0,1,0,0,0,2,0,5383,0,0,7,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf9c",17,1,0,0,0,0,1,0,0,0,3,0,13050,0,0,7,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf48",314,24,0,0,0,0,5,0,4,0,0,2,11603,0,0,140,0,0,0,0,2
"13722.58cfa831e4b0c9d6adf6c392",79,3,0,0,0,0,4,0,0,0,0,0,6876,0,1,33,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c4c8",231,3,0,0,0,0,0,0,0,0,0,0,9986,0,0,109,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c4f9",85,3,0,0,0,0,6,0,0,0,0,0,11914,0,0,28,0,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c3a8",44,4,0,0,0,0,2,0,1,0,0,0,15164,0,0,13,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c4fd",62,7,0,0,0,0,5,0,1,0,1,0,10274,0,0,23,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c61f",81,6,0,0,0,0,2,0,0,0,0,0,6499,0,0,29,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6cca2",9,1,0,0,0,0,3,0,0,0,0,0,13109,0,0,5,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf2e",38,18,1,0,0,0,4,0,3,0,1,0,10796,0,0,19,0,0,0,0,1
"13722.58cfa830e4b0c9d6adf6bf0e",123,13,0,1,0,0,5,0,2,0,0,0,10645,0,1,45,0,0,0,2,0
"13722.58cfa830e4b0c9d6adf6bf83",17,0,0,0,0,0,0,0,0,0,0,0,9424,0,0,6,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf30",681,28,0,0,0,0,3,0,9,0,1,0,13231,0,2,301,0,0,0,4,0
"13722.58cfa830e4b0c9d6adf6bfa4",7,3,0,0,0,0,5,0,0,0,8,0,13275,0,0,5,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bfa9",2,1,0,0,0,0,0,0,0,0,0,0,3961,0,0,1,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c36c",53,6,0,0,0,0,4,0,0,0,0,0,13191,0,0,22,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c36d",94,5,0,0,0,0,7,0,0,0,1,0,11844,0,0,32,0,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c5e4",10,2,0,0,0,0,1,0,0,0,2,0,9134,0,0,6,0,0,0,0,0
