"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa82ee4b0c9d6adf6ae68",1728,2,0,0,0,0,2,0,0,0,0,0,6435,0,0,775,0,0,0,1,0
"13722.58cfa82ee4b0c9d6adf6afe6",172,6,0,0,0,0,2,0,5,0,0,0,7612,0,0,69,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b624",7886,5,0,0,0,0,1,0,1,0,0,0,913,0,0,4548,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b5da",37,8,0,0,0,0,2,0,3,0,0,0,3911,0,0,21,0,0,0,0,1
"13722.58cfa82fe4b0c9d6adf6b5e4",8,9,0,0,0,0,2,0,4,0,0,0,1314,0,0,5,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b617",2296,28,0,0,0,0,1,0,8,0,2,0,2518,0,0,404,0,0,0,1,2
"13722.58cfa82fe4b0c9d6adf6b694",21178,9,1,0,0,0,2,0,9,0,0,0,8104,0,0,9634,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b67d",78679,8,0,0,0,0,3,0,14,0,0,0,5319,0,0,36278,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b726",16955,14,0,0,0,0,2,0,3,0,0,0,1231,0,0,9807,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b7b0",63269,11,0,0,0,0,3,0,11,0,1,1,3899,0,1,29774,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b797",37722,12,0,0,0,0,4,0,9,0,2,0,5713,0,0,18030,1,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b70c",78007,16,2,0,0,4,3,0,5,0,2,1,4528,0,0,34382,0,0,0,0,1
"13722.58cfa82fe4b0c9d6adf6b77c",0,13,0,0,0,0,4,0,4,0,1,0,1479,0,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b7da",10275,52,0,0,0,0,5,0,7,0,0,0,2115,0,0,4278,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b7d4",4639,36,3,0,1,0,7,0,14,0,0,1,2782,0,1,739,0,0,0,4,1
"13722.58cfa82fe4b0c9d6adf6b8b8",137813,16,1,0,0,0,0,0,11,1,0,8,3797,0,0,61904,1,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b914",6403,7,0,0,0,0,4,0,0,0,0,0,5908,0,0,2511,0,0,0,1,0
