"","Chaetothyriales","Malasseziales","Pucciniales","Helotiales","Verrucariales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Dothideales","Ustilaginales","Xylariales","Eurotiales","Trichosporonales","Mucorales","Microascales","Saccharomycetales","Glomerellales","Georgefischeriales","Pleosporales","Entylomatales","Pezizales","Botryosphaeriales","Sordariales","Hypocreales","Tremellales","Polyporales","Gloeophyllales","Russulales","Agaricales","diversity"
"F0850",0,0,0,0,0,0,0,132630,0,0,0,0,0,5170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0851",0,22990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0854",0,22049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57407,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0856",0,0,0,0,0,0,0,0,0,0,0,0,0,68702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0858",0,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0574",0,5300,0,0,0,0,0,0,0,0,0,0,0,19390,0,0,0,356800,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0575",0,0,0,0,0,0,0,23980,0,0,0,0,0,1725400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0576",0,9180,0,0,0,0,0,0,0,0,0,0,0,11826,0,0,0,48925,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0634",0,11020,0,22560,0,0,0,0,0,0,0,0,0,0,0,0,0,98230,0,0,0,23080,0,0,0,0,0,0,0,0,14460,5
"F0635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13462,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0637",0,10607,0,0,0,0,0,0,0,0,0,0,0,2355,0,0,0,3257,0,0,0,0,0,0,0,0,0,0,0,4004,0,4
"F0638",0,11967,0,0,0,0,0,0,0,0,0,0,0,1478,0,0,0,0,0,0,0,0,0,0,0,8539,0,0,0,0,13682,4
"F0640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7293,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64107,0,0,0,0,0,0,0,6481,0,0,0,0,0,2
"F0642",0,37780,0,0,0,0,0,0,0,0,0,0,0,20275,0,0,0,55030,0,0,0,0,0,0,0,16785,0,0,0,0,0,4
"F0643",0,0,0,0,0,0,0,5871,0,0,0,0,0,4818,0,0,0,0,0,0,2748,0,0,0,0,0,0,0,0,0,0,3
"F0644",0,17155,0,0,0,0,18240,0,0,0,0,0,0,87200,0,0,0,0,7185,0,15645,0,0,0,0,13685,0,0,0,0,0,6
"F0645",0,6480,0,9645,0,0,0,0,0,0,0,0,0,20310,0,0,0,0,0,0,0,0,0,0,0,0,0,41875,0,0,0,4
"F0646",0,14484,0,0,0,0,0,0,0,0,0,0,0,12902,0,0,0,42023,0,0,60116,0,0,0,0,0,0,0,0,0,0,4
"F0647",0,0,0,0,0,0,0,0,0,0,0,0,0,3829,0,0,0,15118,0,0,0,0,0,0,0,0,0,0,0,0,29216,3
"F0648",0,6943,0,0,0,0,0,0,0,0,0,0,16937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0650",0,17889,0,0,0,0,0,0,0,0,0,0,0,58922,0,0,0,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0651",125410,0,0,0,0,0,0,0,0,0,0,0,0,25380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0652",0,0,0,0,0,0,0,0,0,0,0,0,0,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0653",0,2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0656",0,2675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
