"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa830e4b0c9d6adf6bf9b",10,1,0,0
"13767.58cfa83ce4b0c9d6adf731ca",1837,111,0,1
"13767.58cfa83ce4b0c9d6adf72ffc",4,18,0,0
"13767.58cfa832e4b0c9d6adf6d512",884,201,0,15
"13767.58cfa83ce4b0c9d6adf72e5b",1171,432,0,9
"13767.58cfa832e4b0c9d6adf6d64f",114,53,0,3
"13767.58cfa830e4b0c9d6adf6c301",528,60,0,10
"13767.58cfa831e4b0c9d6adf6c58a",2164,101,0,9
"13767.58cfa830e4b0c9d6adf6bf81",202,60,0,25
"13767.58cfa83ce4b0c9d6adf7313c",236,348,0,26
"13767.58cfa83ce4b0c9d6adf73000",15,15,0,1
"13767.58cfa83ce4b0c9d6adf73019",277,112,0,14
"13767.58cfa83ce4b0c9d6adf73040",473,196,0,5
"13767.58cfa83ce4b0c9d6adf73210",179,160,0,1
"13767.58cfa83ce4b0c9d6adf72f4c",5225,378,0,49
"13767.58cfa832e4b0c9d6adf6d110",58,4,0,0
"13767.58cfa832e4b0c9d6adf6d3d8",1758,365,0,24
"13767.58cfa832e4b0c9d6adf6d146",22,19,0,4
"13767.58cfa83ce4b0c9d6adf72fc0",169,18,0,3
"13767.58cfa83ce4b0c9d6adf730a6",174,21,0,6
"13767.58cfa83ce4b0c9d6adf72e1a",237,246,0,10
"13767.58cfa832e4b0c9d6adf6d260",3,12,0,0
"13767.58cfa831e4b0c9d6adf6c4df",570,31,0,2
"13767.58cfa830e4b0c9d6adf6c030",123,230,0,4
"13767.58cfa83ce4b0c9d6adf72dec",29,9,0,3
"13767.58cfa831e4b0c9d6adf6c362",277,112,0,14
"13767.58cfa830e4b0c9d6adf6c30c",30,13,0,2
"13767.58cfa832e4b0c9d6adf6d80f",306,1375,0,11
"13767.58cfa83ce4b0c9d6adf72e78",2164,101,0,9
"13767.58cfa83ce4b0c9d6adf72f5d",404,95,0,3
"13767.58cfa831e4b0c9d6adf6c3ee",1137,1110,0,39
"13767.58cfa832e4b0c9d6adf6d3be",588,161,0,15
"13767.58cfa832e4b0c9d6adf6d236",30,51,0,1
"13767.58cfa83ce4b0c9d6adf73025",505,286,0,0
"13767.58cfa830e4b0c9d6adf6c0b1",54,16,0,1
"13767.58cfa83ce4b0c9d6adf7313e",162,51,0,7
"13767.58cfa83ce4b0c9d6adf7318e",8,13,0,0
"13767.58cfa83ce4b0c9d6adf730e6",576,25,0,1
"13767.58cfa831e4b0c9d6adf6c344",170,51,0,7
"13767.58cfa831e4b0c9d6adf6c887",40,15,0,1
"13767.58cfa831e4b0c9d6adf6c925",88,20,0,0
"13767.58cfa83ce4b0c9d6adf730ce",147,45,0,0
"13767.58cfa83ce4b0c9d6adf73004",10,18,0,1
"13767.58cfa83ce4b0c9d6adf72f58",1123,52,0,16
"13767.58cfa83ce4b0c9d6adf72f26",25,9,0,2
"13767.58cfa83ce4b0c9d6adf73180",701,107,0,4
"13767.58cfa833e4b0c9d6adf6d8e7",412,15,0,4
"13767.58cfa831e4b0c9d6adf6cdf1",1622,752,0,4
"13767.58cfa830e4b0c9d6adf6c0ac",2353,109,0,35
"13767.58cfa830e4b0c9d6adf6c2e8",480,108,1,11
"13767.58cfa830e4b0c9d6adf6c182",21,8,0,1
"13767.58cfa83ce4b0c9d6adf73078",404,138,0,1
"13767.58cfa830e4b0c9d6adf6c276",267,80,0,0
"13767.58cfa83ce4b0c9d6adf730b0",563,249,0,21
"13767.58cfa830e4b0c9d6adf6c0b6",318,765,1,2
"13767.58cfa832e4b0c9d6adf6d0c6",9,18,0,1
"13767.58cfa83ce4b0c9d6adf730dc",52,18,0,2
"13767.58cfa831e4b0c9d6adf6c9c0",1429,315,0,8
"13767.58cfa831e4b0c9d6adf6c93c",511,89,0,3
"13767.58cfa832e4b0c9d6adf6d2ac",21,12,0,0
"13767.58cfa83ce4b0c9d6adf72f3b",130,37,0,6
"13767.58cfa83ce4b0c9d6adf72e2a",200,122,0,17
"13767.58cfa83ce4b0c9d6adf7303a",419,104,0,1
"13767.58cfa83ce4b0c9d6adf72e8a",338,136,0,28
"13767.58cfa831e4b0c9d6adf6cdf0",13,19,0,1
"13767.58cfa832e4b0c9d6adf6d3c4",17,1,0,1
"13767.58cfa831e4b0c9d6adf6c4f0",404,138,0,1
"13767.58cfa83ce4b0c9d6adf73172",267,80,0,0
"13767.58cfa831e4b0c9d6adf6c9f3",118,52,0,5
"13767.58cfa831e4b0c9d6adf6c494",701,107,0,4
"13767.58cfa830e4b0c9d6adf6c0ca",318,41,0,34
"13767.58cfa83ce4b0c9d6adf72e0c",10,2,0,0
"13767.58cfa83ce4b0c9d6adf72f1e",318,765,1,2
"13767.58cfa832e4b0c9d6adf6d3d1",19,2,0,0
"13767.58cfa83ce4b0c9d6adf7302a",511,89,0,3
"13767.58cfa832e4b0c9d6adf6d3dd",362,123,0,10
"13767.58cfa830e4b0c9d6adf6c303",2105,256,0,2
"13767.58cfa832e4b0c9d6adf6d850",87,22,0,5
"13767.58cfa830e4b0c9d6adf6c26b",19,11,0,4
"13767.58cfa831e4b0c9d6adf6cd44",587,22,0,2
"13767.58cfa830e4b0c9d6adf6c26e",900,192,0,26
"13767.58cfa83ce4b0c9d6adf731ba",992,60,0,7
"13767.58cfa831e4b0c9d6adf6c989",450,168,0,20
"13767.58cfa832e4b0c9d6adf6d46a",18,74,0,1
"13767.58cfa830e4b0c9d6adf6bf4a",230,59,0,1
"13767.58cfa83ce4b0c9d6adf731fa",3097,369,0,274
"13767.58cfa830e4b0c9d6adf6c0c0",36,21,0,4
"13767.58cfa830e4b0c9d6adf6c07a",33,8,0,0
"13767.58cfa83ce4b0c9d6adf72e22",525,444,0,20
"13767.58cfa83ce4b0c9d6adf72f37",375,61,0,13
"13767.58cfa832e4b0c9d6adf6d140",26,22,0,0
"13767.58cfa83ce4b0c9d6adf72f4a",2105,256,0,2
"13767.58cfa83ce4b0c9d6adf731b0",3568,131,0,10
"13767.58cfa83ce4b0c9d6adf7303c",321,18,0,13
"13767.58cfa832e4b0c9d6adf6d273",69,4,0,0
"13767.58cfa832e4b0c9d6adf6d49e",384,61,0,12
"13767.58cfa83ce4b0c9d6adf73190",282,57,0,1
"13767.58cfa832e4b0c9d6adf6d54a",174,9,0,2
"13767.58cfa832e4b0c9d6adf6d230",5,0,0,0
"13767.58cfa83ce4b0c9d6adf72ff2",182,59,0,0
"13767.58cfa832e4b0c9d6adf6d3a3",177,92,0,2
"13767.58cfa831e4b0c9d6adf6c73c",525,444,0,20
"13767.58cfa830e4b0c9d6adf6c2ae",291,120,0,7
"13767.58cfa831e4b0c9d6adf6c723",375,61,0,13
"13767.58cfa83ce4b0c9d6adf72e30",197,58,0,5
"13767.58cfa831e4b0c9d6adf6c734",191,50,0,4
"13767.58cfa830e4b0c9d6adf6c0e8",194,36,0,15
"13767.58cfa831e4b0c9d6adf6c554",275,51,0,1
"13767.58cfa83ce4b0c9d6adf72e26",4,0,0,0
"13767.58cfa83ce4b0c9d6adf73176",5,5,0,1
"13767.58cfa832e4b0c9d6adf6d19f",321,18,0,13
"13767.58cfa831e4b0c9d6adf6cdc8",395,141,0,16
"13767.58cfa832e4b0c9d6adf6d670",33,6,0,4
"13767.58cfa832e4b0c9d6adf6d05c",172,63,0,0
"13767.58cfa83ce4b0c9d6adf72e35",191,50,0,4
"13767.58cfa833e4b0c9d6adf6d9ff",3,2,0,0
"13767.58cfa832e4b0c9d6adf6d227",177,65,0,13
"13767.58cfa830e4b0c9d6adf6bfe6",197,58,0,5
"13767.58cfa832e4b0c9d6adf6d3c6",788,53,0,0
"13767.58cfa83ce4b0c9d6adf72f21",8418,585,0,35
"13767.58cfa83ce4b0c9d6adf72fb6",331,57,0,5
"13767.58cfa831e4b0c9d6adf6c890",69,29,0,0
"13767.58cfa83ce4b0c9d6adf73198",350,96,0,9
"13767.58cfa833e4b0c9d6adf6d860",7,3,0,0
"13767.58cfa83ce4b0c9d6adf7307b",194,36,0,15
"13767.58cfa83ce4b0c9d6adf72eaa",1318,248,5,4
"13767.58cfa831e4b0c9d6adf6cdf6",99,41,0,0
"13767.58cfa830e4b0c9d6adf6c11e",698,36,0,2
"13767.58cfa832e4b0c9d6adf6d0b8",861,1119,0,15
"13767.58cfa832e4b0c9d6adf6d238",19,2,0,0
"13767.58cfa83ce4b0c9d6adf72ff8",90,65,0,7
"13767.58cfa833e4b0c9d6adf6d91d",899,109,0,12
"13767.58cfa83ce4b0c9d6adf731d6",701,80,0,3
"13767.58cfa83ce4b0c9d6adf72e63",375,44,0,8
"13767.58cfa831e4b0c9d6adf6c842",331,57,0,5
"13767.58cfa83ce4b0c9d6adf72e6a",188,31,0,1
"13767.58cfa830e4b0c9d6adf6c09d",608,84,0,1
"13767.58cfa83ce4b0c9d6adf73206",61,28,0,0
"13767.58cfa832e4b0c9d6adf6d4f2",30,23,0,1
"13767.58cfa83ce4b0c9d6adf7301b",57,20,0,1
"13767.58cfa830e4b0c9d6adf6c0f2",350,96,0,9
"13767.58cfa832e4b0c9d6adf6d5d9",17,4,0,0
"13767.58cfa832e4b0c9d6adf6d2ae",57,29,0,3
"13767.58cfa83ce4b0c9d6adf7316e",487,74,0,30
"13767.58cfa83ce4b0c9d6adf73208",156,218,0,1
"13767.58cfa83ce4b0c9d6adf731f2",147,10,0,0
"13767.58cfa830e4b0c9d6adf6bfd9",84,57,0,3
"13767.58cfa83ce4b0c9d6adf72de4",79,185,0,4
"13767.58cfa830e4b0c9d6adf6c08e",220,39,2,1
"13767.58cfa83ce4b0c9d6adf731e6",84,57,0,3
"13767.58cfa83ce4b0c9d6adf73024",662,295,0,1
"13767.58cfa831e4b0c9d6adf6c4c9",2026,1960,0,8
"13767.58cfa830e4b0c9d6adf6bfb0",79,185,0,4
"13767.58cfa830e4b0c9d6adf6c0a4",60,9,0,0
"13767.58cfa832e4b0c9d6adf6d0dc",880,554,0,41
"13767.58cfa831e4b0c9d6adf6c33a",188,31,0,1
"13767.58cfa832e4b0c9d6adf6d56e",862,198,0,15
"13767.58cfa832e4b0c9d6adf6d29c",487,74,0,30
"13767.58cfa831e4b0c9d6adf6c881",45,14,0,2
"13767.58cfa831e4b0c9d6adf6c9bb",25,4,0,0
"13767.58cfa830e4b0c9d6adf6bfa6",274,54,0,8
"13767.58cfa830e4b0c9d6adf6c2f3",350,51,0,0
"13767.58cfa832e4b0c9d6adf6d0a4",1048,529,0,10
"13767.58cfa830e4b0c9d6adf6c06c",375,44,0,8
"13767.58cfa832e4b0c9d6adf6d854",10,5,0,1
"13767.58cfa83ce4b0c9d6adf730b8",32,3,0,0
"13767.58cfa83ce4b0c9d6adf731aa",117,29,0,0
"13767.58cfa83ce4b0c9d6adf73136",50,5,0,0
"13767.58cfa831e4b0c9d6adf6ca1e",611,147,0,25
"13767.58cfa83ce4b0c9d6adf7318c",27,27,0,0
"13767.58cfa831e4b0c9d6adf6c4f3",1011,64,0,2
"13767.58cfa831e4b0c9d6adf6c5f2",80,9,0,0
"13767.58cfa83ce4b0c9d6adf72f65",119,16,0,0
"13767.58cfa832e4b0c9d6adf6d118",416,141,0,3
"13767.58cfa83ce4b0c9d6adf731c8",55,15,0,1
"13767.58cfa83ce4b0c9d6adf730a0",1,2,0,0
"13767.58cfa83ce4b0c9d6adf73196",17,7,0,0
"13767.58cfa83ce4b0c9d6adf72de6",41,10,0,1
"13767.58cfa832e4b0c9d6adf6ce26",591,222,0,2
"13767.58cfa831e4b0c9d6adf6c4d4",648,173,0,1
"13767.58cfa832e4b0c9d6adf6d454",1798,251,0,12
"13767.58cfa83ce4b0c9d6adf72e4c",83,54,0,1
"13767.58cfa830e4b0c9d6adf6c142",526,199,0,13
"13767.58cfa83ce4b0c9d6adf72e3e",2049,257,0,59
"13767.58cfa832e4b0c9d6adf6d634",17,7,0,1
"13767.58cfa831e4b0c9d6adf6c9e1",423,71,0,1
"13767.58cfa830e4b0c9d6adf6c0e6",1453,137,0,5
"13767.58cfa830e4b0c9d6adf6c2de",1516,303,0,12
"13767.58cfa831e4b0c9d6adf6c32d",1290,225,0,6
"13767.58cfa83ce4b0c9d6adf72faa",78,9,0,0
"13767.58cfa83ce4b0c9d6adf7320e",350,51,0,0
"13767.58cfa830e4b0c9d6adf6c080",1369,130,0,9
"13767.58cfa831e4b0c9d6adf6c9eb",344,219,0,0
"13767.58cfa831e4b0c9d6adf6c894",58,63,0,2
"13767.58cfa831e4b0c9d6adf6c4b6",150,24,0,0
"13767.58cfa832e4b0c9d6adf6d64c",59,9,0,1
"13767.58cfa83ce4b0c9d6adf72e4a",65,20,0,0
"13767.58cfa83ce4b0c9d6adf7312c",71,19,0,0
"13767.58cfa83ce4b0c9d6adf72f63",51,33,0,5
"13767.58cfa831e4b0c9d6adf6cdfa",1040,87,0,9
"13767.58cfa832e4b0c9d6adf6d0fa",463,211,0,6
"13767.58cfa83ce4b0c9d6adf72fa2",1933,253,0,10
