"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa836e4b0c9d6adf6fc64",2,157,0,0,0,0,25,0,57,1,0,0,0,0,1,0,1,0,0,10,0
"13767.58cfa835e4b0c9d6adf6efa7",0,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa835e4b0c9d6adf6ec92",0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70970",1,49,0,0,0,0,7,0,18,0,0,0,0,0,1,0,0,0,0,2,1
"13767.58cfa838e4b0c9d6adf70502",0,17,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e924",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa835e4b0c9d6adf6f254",0,7,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e770",0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf702a0",0,20,0,0,0,0,4,0,5,0,0,0,2,0,0,0,0,0,0,1,0
"13767.58cfa835e4b0c9d6adf6ed7c",0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf7035a",1,45,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,3,0
"13767.58cfa837e4b0c9d6adf703a7",1,31,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e716",0,6,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e94a",0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf702b6",0,12,0,0,0,0,3,0,8,0,0,0,0,0,1,0,0,0,0,1,0
