"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa838e4b0c9d6adf70bb0",0,7,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa839e4b0c9d6adf71494",0,9,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71c92",0,11,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7056e",8,124,2,0,0,0,21,0,50,0,0,0,1,0,0,0,0,0,0,6,0
"13767.58cfa834e4b0c9d6adf6e2f2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71bd0",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71892",0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71d58",0,4,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e3d1",0,29,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa83ae4b0c9d6adf71d0b",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf726d2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa839e4b0c9d6adf71248",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70ac6",0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70a5e",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf7045a",1,33,0,0,0,0,8,0,17,0,0,0,1,0,1,0,0,0,0,2,0
"13767.58cfa83ae4b0c9d6adf71dd2",0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf70193",1,52,1,0,0,0,7,0,17,0,0,0,1,0,1,0,0,0,0,3,0
"13767.58cfa83be4b0c9d6adf7263e",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70950",1,32,0,0,0,0,4,0,10,1,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf70a54",1,32,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa83ae4b0c9d6adf71df8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf7097c",0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72513",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf7096a",0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf709ee",1,29,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf70e00",4,164,0,0,0,0,30,0,59,0,0,0,0,0,1,0,0,0,0,9,0
"13767.58cfa837e4b0c9d6adf70330",2,67,1,0,0,0,11,0,25,0,0,0,1,0,1,0,0,0,0,3,0
"13767.58cfa838e4b0c9d6adf7057c",1,30,0,0,0,0,7,0,11,0,0,0,0,0,1,0,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf7263a",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70992",1,8,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf7246f",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71a3a",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71a84",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71bdb",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72592",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72906",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf7003c",1,92,1,0,0,0,16,0,38,0,0,0,3,0,1,0,0,0,0,6,1
"13767.58cfa838e4b0c9d6adf70a72",0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70a65",0,14,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e67e",2,79,0,0,0,0,18,0,35,0,0,0,1,0,1,0,0,0,0,6,0
"13767.58cfa839e4b0c9d6adf71216",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70952",0,16,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e078",2,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf7052c",2,22,1,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf70b6e",2,22,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa839e4b0c9d6adf71331",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf7254a",1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa839e4b0c9d6adf715cc",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf704c7",2,76,1,0,0,0,15,0,38,1,0,0,2,0,0,0,0,0,0,4,0
