"","Mucoromycota","Basidiomycota","Ascomycota","diversity"
"F2005",0,11199,14052,2
"F2006",0,0,9147,1
"F2007",0,0,15851,1
"F2009",0,11048,11674,2
"F1727",0,15881,29853,2
"F1730",0,5145,0,1
"F1735",0,0,20128,1
"F1638",0,80542,153123,2
"F1749",0,50171,70252,2
"F1750",0,12873,34673,2
"F1751",0,13457,9514,2
"F1754",0,8062,28569,2
"F1755",0,25838,33469,2
"F1756",0,1294,4890,2
"F1757",0,51090,40511,2
"F1758",0,61869,115386,2
"F1759",0,0,62116,1
"F1760",0,29754,25334,2
"F1761",0,9023,37513,2
"F1762",0,20731,80612,2
"F1764",0,169240,697170,2
"F1765",0,41808,42064,2
"F1640",0,14633,142405,2
"F1766",0,42078,25459,2
"F1767",0,0,117850,1
"F1769",0,18001,68045,2
"F1770",0,39667,8519,2
"F1771",0,33012,26574,2
"F1772",0,15865,34139,2
"F1774",0,87090,31396,2
"F1775",0,26817,4263,2
"F1641",0,12300,79962,2
"F1776",0,16128,7086,2
"F1778",0,4436,6913,2
"F1779",0,0,2911,1
"F1780",0,4861,11842,2
"F1781",0,29490,13525,2
"F1642",0,26333,39270,2
"F1810",0,58674,0,1
"F1811",0,0,1450,1
"F1812",0,7033,0,1
"F1813",0,0,36406,1
"F1815",0,0,8586,1
"F1816",0,76537,0,1
"F1817",0,12440,604460,2
"F1818",0,36086,0,1
"F1819",0,10468,83528,2
"F1820",0,0,10669,1
"F1821",0,0,30343,1
"F1822",0,81654,131698,2
"F1824",0,0,24321,1
"F1628",0,46144,62884,2
"F1646",0,29744,121493,2
"F1826",0,38637,0,1
"F1827",0,100478,0,1
"F1829",0,9241,0,1
"F1830",0,47646,32917,2
"F1647",0,4946,11521,2
"F1848",0,60864,22924,2
"F1858",0,15631,682663,2
"F1861",0,4593,73897,2
"F1863",0,48353,67714,2
"F1868",0,4551,0,1
"F1871",0,11968,10093,2
"F1872",0,20785,0,1
"F1873",0,7931,94340,2
"F1874",0,18514,2928,2
"F1900",0,4821,9571,2
"F1901",0,1513,2748,2
"F1903",0,8040,0,1
"F1904",0,1909,2003,2
"F1905",0,11582,13717,2
"F1654",0,65353,68709,2
"F1906",0,0,38187,1
"F1908",0,0,4579,1
"F1909",0,40900,133663,2
"F1910",0,6878,0,1
"F1911",0,0,15664,1
"F1914",0,0,35423,1
"F1630",0,6128,194430,2
"F1631",0,42680,0,1
"F1683",0,34283,0,1
"F1684",0,12013,33300,2
"F1632",0,24376,101494,2
"F1687",0,5324,0,1
"F1689",0,8448,0,1
"F1690",0,0,7541,1
"F1691",0,9735,25182,2
"F1692",0,2277,0,1
"F1695",0,4570,0,1
"F1696",0,0,3845,1
"F1697",0,16785,0,1
"F1699",0,8022,2944,2
"F1702",0,11211,0,1
"F1703",0,0,282360,1
"F1704",0,0,2513,1
"F1705",0,522120,114840,2
"F1708",0,0,87655,1
"F1709",0,0,47798,1
"F1710",0,14455,16846,2
"F1711",0,7869,0,1
"F1713",0,0,23788,1
"F1714",0,37318,46944,2
"F1715",0,0,15596,1
"F1716",0,7214,21272,2
"F1717",0,0,16374,1
"F1719",0,25848,1582,2
"F1720",0,10874,76629,2
"F1721",0,13077,2438,2
"F1722",0,45396,48371,2
"F1724",0,0,74012,1
