"","Dothideales","Eremomycetales","Mycosphaerellales","Fungi_Ascomycota_Dothideomycetes_other","Pleosporales","Venturiales","Chaetothyriales","Eurotiales","Onygenales","Helotiales","Orbiliales","Fungi_Ascomycota_other_other","Pneumocystidales","Saccharomycetales","Schizosaccharomycetales","Glomerellales","Hypocreales","Magnaporthales","Microascales","Ophiostomatales","Sordariales","Togniniales","Xylariales","Xylonales","Agaricales","Boletales","Corticiales","Gloeophyllales","Polyporales","Russulales","Entylomatales","Georgefischeriales","Microstromatales","Malasseziales","Sporidiobolales","Pucciniales","Tremellales","Trichosporonales","Ustilaginales","Wallemiales","Fungi_Microsporidia_other_other","Glomerales","Mucorales"
"13767.58cfa830e4b0c9d6adf6c08a",0,0,1,0,0,0,0,5,0,0,0,0,0,46,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,34,0,0,0,0,0,0,0,0,0
"13767.58cfa831e4b0c9d6adf6c8d4",0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72fb8",0,0,10,0,0,0,0,16,0,0,0,0,0,192,0,0,35,0,0,0,4,0,0,0,468,0,0,1,0,0,0,0,1,23,0,0,1,0,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf7305d",1,0,2,0,1,1,1,141,10,1,0,0,0,29,0,0,14,14,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,9,0
"13767.58cfa831e4b0c9d6adf6c9b3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72f1b",0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72e21",1,0,17,0,63,1,43,515,198,40,4,17,26,207,24,32,101,12,2,2,15,2,12,0,50,258,148,61,14,166,0,0,410,11210,86,17,462,57,288,16,0,5,10
"13767.58cfa831e4b0c9d6adf6c48c",0,0,1,0,0,0,0,1,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72f2f",0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf730a4",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0
"13767.58cfa830e4b0c9d6adf6bf76",4,0,8,0,0,0,3,26,0,0,0,0,0,9,0,0,5,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,67,1,0,0,0,0,1,0,3,0
"13767.58cfa830e4b0c9d6adf6c068",2,0,0,0,0,1,0,89,5,1,0,0,0,4,0,1,10,7,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,7,0
"13767.58cfa832e4b0c9d6adf6d1aa",0,0,23,0,53,1,54,53,31,23,3,1,0,17,4,7,31,0,1,0,11,1,1,0,4,3,2,2,1,4,0,0,1,10,49,2,24,2,3,2,0,1,1
"13767.58cfa83ce4b0c9d6adf73148",0,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72e58",0,0,0,0,0,0,0,4,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"13767.58cfa830e4b0c9d6adf6be15",2,0,44,0,141,0,6,79,31,6,1,2,0,5434,3,19,69,1,0,1,6,1,1,0,3,2,0,1,0,0,0,0,1,24,4,0,11,1,13,1,0,2,1
"13767.58cfa830e4b0c9d6adf6c100",0,0,3,0,21,1,3,110,13,9,0,0,0,13,0,3,18,7,1,0,4,0,1,1,1,0,0,0,0,1,0,0,0,145,13,0,5,1,3,71,0,8,1
"13767.58cfa83ce4b0c9d6adf731c6",0,0,1,0,0,0,0,2,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72e12",1,0,0,0,3,1,1,353,34,0,0,0,0,29,0,2,17,29,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,29,2,0,0,0,0,1,0,10,0
"13767.58cfa83ce4b0c9d6adf73053",0,0,26,0,6,0,3,90,8,3,0,0,0,486,1,3,101,7,1,0,14,0,0,0,2,0,0,0,0,23,0,0,1,285,3,0,0,0,0,0,1,4,0
"13767.58cfa832e4b0c9d6adf6d4ee",0,0,43,0,14,2,9,138,19,0,0,0,0,21,0,2,21,18,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,227,0,1,2,0,0,0,0,12,0
"13767.58cfa832e4b0c9d6adf6d3e6",0,0,15,0,5,0,10,166,23,5,0,0,0,1658,2,6,34,16,0,1,14,3,0,0,0,0,0,0,0,0,1,0,0,113,6,1,0,0,0,2,0,12,0
"13767.58cfa832e4b0c9d6adf6d074",0,0,2,0,5,0,1,1,2,1,0,0,1,7,4,3,5,0,0,0,1,0,0,0,3,2,5,1,1,2,0,0,2,8,9,1,6,2,3,0,0,0,0
"13767.58cfa830e4b0c9d6adf6c09c",0,0,8,0,0,0,0,15,0,0,0,0,0,184,0,0,34,0,0,0,4,0,0,0,458,0,0,0,0,0,0,0,1,26,0,0,1,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6d09c",0,0,2,0,11,0,6,81,31,6,1,2,4,46,4,4,19,1,0,1,1,0,1,0,8,45,26,11,2,30,0,0,73,1922,13,3,80,9,48,2,0,1,1
"13767.58cfa83ce4b0c9d6adf730a9",0,0,1,0,20,0,2,28,1,6,0,0,0,16,0,0,10,4,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,94,1,0,2,0,0,1,0,2,0
"13767.58cfa830e4b0c9d6adf6c098",0,0,3,0,2,1,0,69,10,0,0,0,0,309,0,2,63,6,0,0,13,0,0,0,0,0,0,0,2,1,0,0,2,42,11,0,0,0,0,0,0,3,0
"13767.58cfa830e4b0c9d6adf6c0ec",1,1,491,0,903,2,95,629,189,107,19,1,13,111,5,31,227,12,2,2,24,2,22,0,13,3,9,3,2,6,0,0,0,137,4,0,15,2,3,14,0,9,1
"13767.58cfa832e4b0c9d6adf6d564",0,0,14,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72e74",0,0,1,0,0,0,0,3,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa833e4b0c9d6adf6dbac",0,0,10,0,0,0,0,43,9,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,1,0
"13767.58cfa831e4b0c9d6adf6ca45",0,0,1,0,0,0,0,5,0,0,0,0,0,40,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"13767.58cfa833e4b0c9d6adf6d997",2,1,43,0,14,1,5,201,32,0,1,0,0,38,0,3,17,26,0,0,22,0,1,1,3,0,0,0,2,1,0,0,0,70,3,1,1,0,2,2,0,17,1
"13767.58cfa83ce4b0c9d6adf72e38",2,0,0,0,0,1,0,90,5,1,0,0,0,4,0,1,13,8,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,8,0
"13767.58cfa832e4b0c9d6adf6d108",0,0,0,0,0,8,2,295,23,3,0,0,0,15,0,3,23,47,0,0,11,0,1,0,0,0,0,0,0,2,0,0,0,26,3,0,0,0,0,3,0,76,0
"13767.58cfa831e4b0c9d6adf6cd78",0,0,9,0,242,1,8,158,45,8,1,0,2,33,2,2,135,16,0,0,10,0,2,0,1,2,0,0,0,0,0,0,2,121,3,7,1,0,2,4,0,13,0
"13767.58cfa832e4b0c9d6adf6d5e5",0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72d9c",1,0,40,0,141,0,7,80,29,4,1,1,0,5371,4,19,67,1,1,1,5,1,1,0,2,2,0,1,0,0,0,0,1,26,4,0,13,0,11,1,0,3,1
"13767.58cfa83ce4b0c9d6adf73034",0,0,3,0,21,1,3,110,13,9,0,0,0,13,0,3,18,7,1,0,4,0,1,1,1,0,0,0,0,1,0,0,0,145,13,0,5,1,3,71,0,8,1
"13767.58cfa831e4b0c9d6adf6c892",0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"13767.58cfa833e4b0c9d6adf6d9b7",0,0,55,0,4,2,9,95,17,2,0,0,0,24,0,2,9,14,0,0,10,0,0,0,3,1,1,1,0,1,0,0,1,86,8,1,2,1,2,0,0,18,0
"13767.58cfa832e4b0c9d6adf6d5b6",0,0,56,0,5,0,1,64,9,1,0,0,0,8,0,0,5,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,20,0,0,4,0
"13767.58cfa832e4b0c9d6adf6d23e",0,0,1,0,0,0,1,1,1,2,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6d5e1",2,0,41,0,5,0,0,41,4,0,0,0,0,16,0,0,4,5,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,72,0,0,0,0,0,0,0,2,0
"13767.58cfa832e4b0c9d6adf6d566",0,0,33,0,4,0,2,56,9,0,0,0,0,20,0,0,10,9,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,41,0,0,0,1,0,1,0,5,0
"13767.58cfa831e4b0c9d6adf6cde8",7,0,8,0,1,0,24,34,0,0,1,0,0,238,0,1,9,2,0,0,10,0,0,0,2,0,0,0,0,1,0,0,0,205,2,0,0,0,0,0,0,2,0
"13767.58cfa83ce4b0c9d6adf72e24",0,0,5,0,0,0,0,7,0,0,0,0,0,102,0,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0
"13767.58cfa83ce4b0c9d6adf7308e",1,1,491,0,903,2,95,629,189,107,19,1,13,111,5,31,227,12,2,2,24,2,22,0,13,3,9,3,2,6,0,0,0,137,4,0,15,2,3,14,0,9,1
"13767.58cfa83ce4b0c9d6adf7303e",0,0,8,0,2,0,0,57,15,2,0,0,0,278,0,2,67,5,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,58,4,4,0,0,10,1,0,6,0
"13767.58cfa830e4b0c9d6adf6c082",0,0,1,0,2,0,0,0,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,2,2,1,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0
"13767.58cfa831e4b0c9d6adf6c4b9",1,0,29,0,9,0,2,126,9,0,0,0,0,1035,1,7,191,6,0,0,29,0,1,0,4,0,0,0,0,0,0,0,0,118,2,1,0,0,2,0,0,2,0
"13767.58cfa832e4b0c9d6adf6d639",0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf730b2",2,0,17,0,4,0,2,55,14,5,0,0,0,335,0,1,63,1,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,117,0,0,0,1,2,0,0,0,0
"13767.58cfa83ce4b0c9d6adf730ae",0,0,9,0,242,1,8,158,45,8,1,0,2,33,2,2,135,16,0,0,10,0,2,0,1,2,0,0,0,0,0,0,2,121,3,7,1,0,2,4,0,13,0
"13767.58cfa830e4b0c9d6adf6c088",6,0,16,0,10,0,0,103,7,0,0,0,0,660,0,2,132,2,1,0,17,0,2,0,1,0,0,0,0,0,0,0,1,160,4,0,0,0,5,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72ead",4,0,27,0,7,0,1,156,15,1,0,0,0,988,0,0,181,12,0,0,30,0,0,0,2,0,0,0,0,0,0,0,0,176,2,1,13,5,5,3,0,6,0
"13767.58cfa83ce4b0c9d6adf72f23",0,0,0,0,0,8,2,295,23,3,0,0,0,15,0,3,23,47,0,0,11,0,1,0,0,0,0,0,0,2,0,0,0,26,3,0,0,0,0,3,0,76,0
"13767.58cfa83ce4b0c9d6adf7302c",0,0,1,0,0,0,2,11,0,0,0,0,0,3,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,22,0,1,0,0,0,0,2,0
"13767.58cfa832e4b0c9d6adf6d4c0",0,0,2,0,59,0,1,32,3,4,1,0,0,5,0,1,7,1,1,0,4,0,0,1,0,1,1,1,1,0,0,0,0,16,13,0,16,4,0,0,1,3,0
"13767.58cfa832e4b0c9d6adf6d67c",0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6d2cc",0,0,0,0,0,0,0,32,1,0,0,0,0,4,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,39,0,0,0,0,0,0,0,1,0
"13767.58cfa832e4b0c9d6adf6d098",0,0,0,0,0,0,0,20,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf7304a",37,1,27,0,28,0,8,257,30,8,1,1,0,26,0,6,31,1,1,1,6,0,44,0,0,0,0,0,0,1,0,0,0,37,11,0,5,0,1,1,0,1,0
"13767.58cfa832e4b0c9d6adf6d61e",1,0,51,0,18,2,18,296,34,2,0,0,0,43,0,2,21,34,1,0,29,0,0,1,3,1,0,0,1,1,0,0,0,45,7,2,3,0,1,0,0,28,0
"13767.58cfa83ce4b0c9d6adf72e82",0,0,1,0,0,0,0,3,0,0,0,0,0,24,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72f96",0,0,2,0,2,0,0,2,1,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6d6a3",4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0
"13767.58cfa832e4b0c9d6adf6d214",2,0,2,0,6,0,2,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"13767.58cfa830e4b0c9d6adf6c0d4",0,2,313,0,176,2,43,193,71,30,5,2,0,679,6,19,61,8,2,2,17,1,4,0,4,6,1,1,2,3,0,0,2,111,13,4,5,1,7,2,0,13,2
"13767.58cfa832e4b0c9d6adf6d224",0,0,8,0,2,0,0,57,15,2,0,0,0,278,0,2,67,5,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,58,4,4,0,0,10,1,0,6,0
"13767.58cfa83ce4b0c9d6adf72f9b",0,0,3,0,0,0,2,13,0,0,0,0,0,145,0,0,28,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72f39",0,0,1,0,1,0,0,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0,0,0,2,4,1,1,1,5,0,0,1,3,0,0,2,0,0,0,0,1,1
"13767.58cfa832e4b0c9d6adf6d5dc",2,0,8,0,2,0,1,8,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,1,0
"13767.58cfa830e4b0c9d6adf6c10f",0,0,4,0,21,2,5,216,29,2,0,0,55,181,57,27,75,17,1,2,31,1,1,0,17,8,7,3,2,5,0,0,3,324,22,1,90,18,4,5,6,68,1
"13767.58cfa830e4b0c9d6adf6c0ea",0,0,3,0,0,0,1,7,0,0,0,0,0,113,0,0,21,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0
"13767.58cfa832e4b0c9d6adf6d06a",0,0,5,0,0,0,0,5,0,0,0,0,0,95,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,4,0,0,0
"13767.58cfa83ce4b0c9d6adf7302e",0,0,0,0,1,0,0,19,2,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72fba",0,0,0,0,5,0,0,3,0,0,0,1,0,17,0,0,4,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,8,80,0,5,0,2,0,0,0,0
"13767.58cfa83ce4b0c9d6adf73170",5,0,4,0,7,2,10,540,35,2,0,0,0,93,0,6,46,32,0,0,20,0,5,1,1,1,1,0,0,3,2,0,4,457,1,1,2,0,1,1,0,20,0
"13767.58cfa831e4b0c9d6adf6cd35",0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"13767.58cfa833e4b0c9d6adf6d93f",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6d10c",0,0,1,0,0,0,0,12,0,0,0,0,0,1,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,24,0,1,0,0,0,0,2,0
"13767.58cfa832e4b0c9d6adf6d13e",37,1,27,0,28,0,8,257,30,8,1,1,0,26,0,6,31,1,1,1,6,0,44,0,0,0,0,0,0,1,0,0,0,37,11,0,5,0,1,1,0,1,0
