"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0233",0,0,0,0,0,0,0,0,0,0,4602,0,0,0,0,1
"F0235",4276,0,0,36833,0,0,0,0,18924,7270,0,0,0,0,46801,5
"F0236",30130,0,0,39260,0,0,0,0,0,0,0,0,0,0,220365,3
"F0237",0,0,0,0,0,0,1020,0,0,0,0,0,0,0,0,1
"F0238",11751,0,0,0,0,0,0,0,0,0,0,0,8487,4735,30715,4
"F0240",4140,0,0,7444,0,0,0,0,0,0,0,0,0,0,42440,3
"F0243",11500,0,0,0,0,0,0,0,0,0,0,0,0,0,31891,2
"F0248",24320,0,0,26744,0,0,5713,0,0,15526,0,0,0,0,40355,5
"F0249",13775,0,0,0,0,0,0,0,0,0,0,0,5766,0,10003,3
"F0258",6709,0,0,0,0,0,0,0,10416,0,0,0,0,0,1342,3
"F0259",11566,0,0,0,0,0,0,0,0,0,10470,0,0,0,28965,3
"F0264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1
"F0266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16353,1
"F0267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17566,1
"F0269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8272,1
"F0273",0,0,0,0,0,0,2606,0,0,0,0,0,0,0,0,1
"F0278",0,0,0,0,0,0,0,0,6578,0,0,0,0,0,4539,2
"F0279",0,0,0,0,0,0,0,0,0,43891,0,0,0,7096,37976,3
"F0489",21597,0,0,25929,0,0,12280,0,12896,0,0,0,2632,14960,0,6
"F0494",39871,0,0,0,0,0,18417,0,0,0,0,0,0,0,0,2
"F0496",1687,0,0,0,0,0,0,0,0,0,0,0,0,0,18508,2
"F0497",18999,0,0,21206,0,0,114600,0,0,0,0,0,0,14383,32734,5
"F0500",7127,0,0,1697,0,0,10548,0,0,6036,0,0,0,35335,13664,6
"F0501",0,0,0,0,0,0,3511,0,0,11133,0,0,0,0,0,2
"F0506",6562,0,0,0,0,0,0,0,0,0,0,0,0,21623,35045,3
"F0507",22073,0,0,0,0,0,10487,0,0,0,18668,0,0,0,0,3
"F0510",0,0,0,0,0,0,1619860,0,0,0,0,0,0,20660,0,2
"F0513",0,0,0,0,0,0,6308,0,0,0,0,0,0,0,12428,2
"F0478",10743,0,0,0,0,0,0,0,0,6126,0,0,0,0,0,2
"F0514",50449,0,15115,2645,0,0,10475,0,0,2172,0,0,0,0,0,5
"F0515",8074,0,0,24708,0,0,40665,0,0,0,0,0,0,0,0,3
"F0516",110030,0,0,0,0,0,16455,0,0,0,0,0,0,0,61495,3
"F0517",181860,0,0,23710,0,0,41490,0,0,0,0,0,0,0,0,3
"F0519",0,0,0,0,0,0,0,0,17889,0,0,0,0,0,0,1
"F0522",32880,0,0,0,0,0,32500,0,0,907120,0,0,0,0,0,3
"F0479",0,0,0,0,0,0,2191,0,43344,64640,62442,0,0,0,0,4
"F0525",38400,0,0,0,0,0,57005,0,0,5265,0,0,0,0,103675,4
"F0482",0,0,0,0,0,0,0,0,0,24096,0,0,0,0,0,1
"F0483",0,0,0,0,0,0,20531,0,36599,0,0,0,0,0,0,2
"F0580",8841,0,0,0,0,0,0,0,0,45148,0,0,0,0,0,2
"F0581",0,0,0,197440,0,0,10170,0,0,8890,0,0,0,0,63715,4
"F0582",0,0,0,0,0,0,0,0,0,1182,0,0,0,0,3644,2
"F0586",0,0,0,0,0,0,605580,0,0,0,0,0,0,0,537020,2
"F0826",0,0,0,0,0,0,0,0,0,0,361400,0,0,224840,53220,3
"F0827",0,0,0,0,0,0,0,0,76580,0,0,0,0,0,981220,2
"F0829",0,0,0,0,0,229440,0,0,23230,70240,0,0,0,0,0,3
"F0830",22879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0832",0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,1
"F0833",0,0,0,10249,0,0,0,0,0,0,0,0,0,0,0,1
"F0836",0,0,0,0,0,0,0,0,0,0,0,0,0,63460,136495,2
"F0837",0,0,0,0,0,0,1259,0,0,0,0,0,0,0,0,1
"F0839",14667,0,0,0,0,0,0,0,0,0,0,0,0,0,37995,2
"F0840",0,0,0,0,0,0,1447960,0,0,0,0,0,0,0,0,1
"F0841",10135,0,0,196040,0,0,0,0,0,0,0,0,0,0,0,2
"F0845",0,0,0,0,0,0,220470,0,0,0,0,0,0,0,0,1
"F0848",0,0,0,0,0,0,0,0,0,364665,0,0,0,0,0,1
"F0850",0,0,0,196585,0,0,5170,0,0,0,0,0,0,0,42910,3
"F0851",22990,0,0,0,0,0,0,0,95080,0,0,0,0,0,0,2
"F0854",22049,0,0,0,0,0,0,0,0,57407,0,0,0,0,0,2
"F0856",0,0,0,0,0,0,68702,0,0,0,0,0,0,0,0,1
"F0858",1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0574",5300,0,0,0,0,0,19390,0,0,356800,0,0,0,0,0,3
"F0575",0,0,0,23980,0,0,1725400,0,0,0,0,0,0,0,0,2
"F0576",9180,0,0,0,0,0,11826,0,0,48925,0,0,0,0,42183,4
"F0634",11020,0,22560,0,0,0,0,0,0,98230,0,0,23080,14460,43340,6
"F0635",0,0,0,0,0,0,0,0,0,13462,0,0,0,0,0,1
"F0637",10607,0,0,0,0,0,2355,0,0,3257,0,0,0,4004,3941,5
"F0638",11967,0,0,0,0,0,1478,0,0,0,8539,0,0,13682,0,4
"F0640",0,0,0,0,0,0,0,0,0,7293,0,0,0,0,0,1
"F0641",0,0,0,0,0,0,0,0,0,64107,6481,0,0,0,0,2
"F0642",37780,0,0,0,0,0,20275,0,0,55030,16785,0,0,0,0,4
"F0643",0,0,0,5871,0,0,4818,0,0,0,0,0,0,0,2748,3
"F0644",17155,0,0,0,0,0,87200,0,0,0,20870,0,0,18240,31275,5
"F0645",6480,0,9645,0,0,0,20310,0,0,0,0,0,0,41875,0,4
"F0646",14484,0,0,0,0,0,12902,0,0,42023,0,0,0,0,107939,4
"F0647",0,0,0,0,0,0,3829,0,0,15118,0,0,0,29216,16896,4
"F0648",6943,0,0,0,0,0,0,0,0,0,16937,0,0,0,0,2
"F0650",17889,0,0,0,0,0,58922,0,0,2454,0,0,0,0,36913,4
"F0651",0,0,0,0,0,0,150790,0,0,0,0,0,0,0,0,1
"F0652",0,0,0,0,0,0,1037,0,0,0,0,0,0,0,0,1
"F0653",2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0656",2675,0,0,0,0,0,0,0,0,0,0,0,0,9248,0,2
"F0658",16097,0,0,0,0,0,17642,0,0,0,0,0,0,0,0,2
"F0660",15875,0,0,0,0,0,0,0,0,0,0,0,0,0,53920,2
"F0661",8063,0,0,0,0,0,0,0,0,0,1831,0,0,0,0,2
"F0662",13710,0,0,0,0,0,7751,0,0,0,0,0,0,5135,15537,4
"F0665",11510,0,0,19660,0,0,0,0,0,0,141230,0,0,0,498470,4
"F0666",17265,0,0,0,0,0,22235,0,65410,0,40260,0,0,18695,0,5
"F0868",4514,0,0,0,0,0,2816,0,0,0,4580,0,12742,0,0,4
"F0870",61640,0,0,12865,0,0,122565,0,16410,0,33480,0,10360,11995,11810,8
"F0871",68315,0,0,0,0,0,31140,0,11635,0,9190,0,0,29795,60065,6
"F0872",149025,0,15945,0,0,0,76005,0,0,0,0,0,0,0,102675,4
"F0874",20140,0,0,0,0,0,110835,0,21695,0,44510,0,0,46700,0,5
"F0875",32923,0,0,7970,0,0,40684,0,12969,8510,11699,0,0,0,14714,7
"F0876",25230,0,0,0,0,0,360410,0,0,15340,0,0,0,61880,69010,5
"F0877",11832,0,0,0,0,0,10470,0,0,11281,0,0,0,7368,0,4
"F0860",71725,0,0,25995,0,0,63725,0,8870,12590,0,0,0,0,429755,6
"F0878",24555,0,0,0,0,0,10190,0,0,84165,10525,0,0,38725,101965,6
"F0879",0,13499,49138,5882,0,0,0,0,0,0,0,0,0,16742,25165,5
"F0880",34620,0,0,11705,0,0,56780,0,0,0,9660,0,0,9675,77775,6
"F0881",0,0,0,0,0,5348,0,0,0,8999,0,0,13837,0,0,3
"F0883",29574,0,0,0,0,0,5154,0,0,6975,0,0,0,0,8614,4
"F0884",6016,0,0,0,0,0,0,0,0,0,0,0,0,5738,0,2
"F0885",7687,0,0,0,0,0,6858,0,16717,17479,4142,0,0,20952,8738,7
"F0886",28330,0,0,10930,0,0,137630,0,0,27880,0,0,137200,0,13790,6
"F0887",15463,0,0,0,0,0,0,0,0,10106,0,0,0,0,7886,3
"F0861",0,0,0,0,0,0,666690,0,0,0,0,0,0,0,0,1
"F0862",49570,0,0,0,0,0,0,0,15660,494740,259075,0,0,0,47235,5
"F0863",16185,0,0,10645,0,0,15495,0,0,1000690,56820,0,0,0,41735,6
"F0865",136470,0,0,0,0,0,13445,0,0,61745,0,0,0,0,63285,4
"F0866",86635,0,0,7415,0,11810,117515,0,0,23890,0,0,0,54160,65835,7
"F0867",4390,0,0,0,0,0,35083,0,0,0,0,0,0,0,0,2
"F1219",0,0,0,1109730,0,0,0,0,0,0,0,0,0,0,56240,2
"F1076",138920,0,0,0,0,0,0,0,0,0,0,0,0,0,17820,2
"F1077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29752,1
"F1078",0,0,0,0,0,0,0,0,0,12810,0,0,13263,0,16465,3
"F1079",33178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1081",0,0,0,0,0,0,235580,0,0,669900,0,0,0,0,0,2
"F1082",22447,0,0,0,0,0,0,0,0,0,0,0,0,0,30868,2
"F1083",0,0,0,0,0,0,0,0,0,0,885020,0,0,0,0,1
"F1551",0,0,0,0,0,0,462920,0,0,0,0,0,0,0,0,1
"F1552",0,0,0,0,0,0,93420,0,0,0,0,0,0,0,54830,2
"F1553",0,0,0,0,0,0,9799,0,0,9906,0,0,0,9250,20706,4
"F1554",6865,0,0,8205,0,0,0,0,0,15140,0,0,0,7420,113990,5
"F1555",16220,0,0,0,0,0,8525,0,0,12195,0,0,0,23575,42205,5
"F1556",0,0,0,0,0,0,0,0,8799,0,0,0,0,0,8721,2
"F1557",105600,0,0,34980,0,0,0,0,16610,0,0,0,13240,22670,69120,6
"F1558",0,0,0,0,0,0,66900,0,0,0,0,0,0,0,0,1
"F1560",0,0,0,0,0,0,10180,0,9926,0,0,0,0,0,0,2
"F1561",2173,0,0,9265,0,0,15602,0,0,0,0,0,0,0,0,3
"F1563",51746,0,0,0,0,0,29742,0,0,0,10920,0,0,11301,81884,5
"F1564",20365,0,16745,9970,0,0,0,8475,0,0,0,0,0,0,22460,5
"F1565",21655,0,0,9925,0,0,0,0,0,10020,8370,0,0,0,93000,5
"F1566",0,0,0,11211,0,0,4380,0,0,11322,0,0,0,0,10756,4
"F1573",16335,62060,19960,24400,0,0,39325,0,0,89680,31510,0,0,0,28130,8
"F1574",13250,0,0,11630,0,0,106290,0,12325,0,33160,0,0,0,37735,6
"F1575",0,0,22325,24520,0,0,0,0,0,0,0,0,0,9540,24605,4
"F1576",0,0,0,0,0,0,8753,0,16897,9871,5634,0,0,0,12896,5
"F1577",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8406,1
"F1578",21700,0,0,0,0,0,9448,0,6175,5122,0,0,0,5851,0,5
"F1579",26985,0,0,0,0,0,21940,0,0,0,0,0,0,19485,21990,4
"F1580",112200,0,0,11190,0,0,14255,0,0,0,14030,0,0,12370,21930,6
"F1581",118855,0,0,0,0,0,82260,0,0,29115,0,0,0,0,72125,4
"F1582",1603,0,0,0,0,0,17890,0,0,0,0,0,0,0,6781,3
"F1583",14226,0,0,0,0,0,0,0,0,15797,0,0,0,0,0,2
"F1585",54740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1586",8966,0,0,0,0,0,0,0,0,5496,5766,0,0,6578,14122,5
"F1587",68590,0,0,0,0,0,10125,0,0,0,0,0,0,0,39940,3
"F1588",16193,0,0,0,0,0,26583,0,0,0,19866,0,0,0,17628,4
"F1589",15087,0,0,0,0,0,31799,0,0,0,0,0,0,0,0,2
"F1605",7118,0,0,0,0,0,6992,0,0,0,6624,0,0,0,27762,4
"F1606",6688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1607",0,0,0,0,0,0,0,0,8713,16290,0,0,0,0,0,2
"F1608",7842,7658,0,0,0,0,0,0,0,7469,0,0,0,0,4319,4
"F1609",51385,0,0,10695,0,0,17090,0,0,15485,0,0,0,0,33970,5
"F1610",15887,0,0,0,0,0,1947,0,0,0,0,0,0,0,0,2
"F1612",17559,0,0,0,0,0,11685,0,0,70036,0,0,0,0,0,3
"F1613",58700,0,0,9070,0,0,11905,0,0,0,0,0,0,21430,0,4
"F1615",0,0,0,0,0,0,0,0,0,0,194140,0,0,0,0,1
"F1616",0,0,0,9170,0,0,19980,0,16025,10460,0,0,0,7555,53540,6
"F1617",22185,0,0,0,0,0,38695,0,0,21055,0,0,0,0,0,3
"F1618",39820,0,0,22230,0,0,20020,0,0,0,0,0,0,28530,13150,5
"F1619",0,0,0,0,0,0,2836,0,0,0,0,0,0,0,0,1
"F1620",21414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1622",3376,0,0,1679,0,0,0,0,0,0,0,0,0,0,12801,3
"F1623",98180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1624",30187,0,0,0,0,0,0,0,0,24385,0,0,0,0,0,2
"F1625",0,0,0,0,0,0,250480,0,0,0,0,0,0,0,0,1
"F1626",24489,0,9796,0,0,0,0,0,0,2516,0,0,0,0,6258,4
"F1371",0,0,0,0,0,0,12024,0,0,39568,10296,0,0,0,6000,4
"F1380",0,0,0,0,0,0,4619,0,0,202587,0,0,0,0,5517,3
"F1383",2359,0,0,0,0,0,0,0,0,110817,0,0,0,0,1776,3
"F1384",40750,0,0,0,0,0,83710,0,0,245115,37610,0,0,8150,60515,6
"F1387",59375,0,0,0,0,0,27640,0,0,28130,0,0,0,0,121115,4
"F1393",4064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1394",8922,0,0,0,0,0,0,0,0,7842,0,0,0,0,0,2
"F1397",0,0,0,0,0,0,3048,0,0,0,0,0,0,0,45500,2
"F1404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7335,1
"F1413",0,0,6596,0,0,0,0,0,0,0,0,0,0,0,5062,2
"F1414",10347,0,0,0,0,0,0,0,0,0,0,0,0,0,3702,2
"F1415",0,0,0,27650,0,0,0,0,0,0,0,0,0,0,70215,2
"F1488",0,0,0,0,0,0,0,0,0,3865,0,0,0,0,0,1
"F1495",0,0,0,0,0,0,0,0,0,3167,0,0,0,0,0,1
"F1499",0,0,0,0,0,0,0,0,0,474870,0,0,0,0,0,1
"F1292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2858,1
"F1293",0,0,0,226560,0,0,0,0,0,0,0,0,0,14740,0,2
"F1306",0,0,0,0,0,0,11553,0,0,10716,0,0,0,9607,43959,4
"F1307",0,0,0,0,0,0,2163,0,0,0,0,0,0,14211,0,2
"F1309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,87200,1
"F1312",53240,0,0,14660,0,0,6720,0,0,21315,0,0,0,0,14280,5
"F1313",50916,0,0,0,0,0,26984,0,0,6063,0,0,0,0,7910,4
"F1314",4314,0,0,0,0,0,7919,0,0,0,0,0,0,0,0,2
"F1316",0,0,0,0,0,0,3422,0,0,0,0,0,0,0,0,1
"F1318",4378,0,0,0,0,0,2023,0,0,7627,0,0,9066,2434,399486,6
"F1319",0,0,0,0,0,0,2061,0,0,0,0,0,0,0,0,1
"F1321",3385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1322",16523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1327",0,0,0,0,0,0,0,0,4229,0,0,0,0,5372,0,2
"F1336",0,0,0,0,0,0,0,0,14583,20469,0,0,0,0,0,2
"F1726",0,0,0,0,0,0,3849,0,0,0,0,0,0,0,0,1
"F1727",4461,0,0,0,0,0,0,0,11420,15697,0,0,0,0,14156,4
"F1730",0,0,0,0,0,5145,0,0,0,0,0,0,0,0,0,1
"F1734",0,0,0,0,0,4454,0,0,0,0,0,0,0,7722,0,2
"F1735",0,0,0,0,0,0,4223,0,0,0,0,0,0,0,15905,2
"F1848",32199,0,0,0,0,0,0,0,28665,0,0,0,0,0,22924,3
"F1858",15631,0,0,0,0,0,33610,0,0,649053,0,0,0,0,0,3
"F1861",4593,0,0,0,0,0,13738,0,0,9520,50639,0,0,0,0,4
"F1863",46191,0,0,0,0,0,48601,0,0,10137,6109,0,0,1139,2867,6
"F1868",4551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1871",0,0,0,0,0,0,5619,0,0,0,4474,0,11968,0,0,3
"F1872",9280,0,0,0,0,0,0,0,11505,0,0,0,0,0,0,2
"F1873",7931,0,0,0,0,0,2727,0,0,0,2782,0,0,0,88831,4
"F1874",18514,0,0,0,0,0,2928,0,0,0,0,0,0,0,0,2
"F1724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,74012,1
