"","Mucoromycota","Basidiomycota","other","Ascomycota","diversity"
"F0878",0,63280,0,215255,2
"F0880",0,56000,9835,144215,3
"F0883",0,29574,0,20743,2
"F0885",0,45356,0,37217,2
"F0887",0,15463,0,17992,2
"F0901",0,0,0,40402,1
"F0902",0,7163,0,0,1
"F0903",0,2601,0,0,1
"F0904",0,0,0,17665,1
"F0907",0,4818,0,0,1
"F0863",0,26830,0,1114740,2
"F0909",0,0,0,15191,1
"F0922",0,31595,0,153225,2
"F0923",0,12553,0,0,1
"F0928",0,10225,0,7683,2
"F0930",0,0,0,18368,1
"F0931",0,0,0,18124,1
"F0866",0,160020,0,207240,2
"F0944",0,18884,0,4533,2
"F0945",0,0,0,19389,1
"F0946",0,21635,0,42557,2
"F0947",0,20865,0,0,1
"F0948",0,0,0,16583,1
"F0950",0,0,0,13381,1
"F0951",0,3650,0,2148,2
"F0952",0,25772,0,30396,2
"F0953",0,0,0,25375,1
"F1150",0,41562,0,0,1
"F1151",0,26111,0,0,1
"F1152",0,76561,0,61210,2
"F1153",0,0,0,47538,1
"F1156",0,0,0,29065,1
"F1157",0,0,0,1092,1
"F1158",0,15519,0,1561,2
"F1159",0,33118,0,0,1
"F1162",0,164685,0,0,1
"F1164",0,0,0,31524,1
"F1165",0,59029,0,46619,2
"F1166",0,43407,0,0,1
"F1167",0,0,0,35651,1
"F1168",0,0,0,36564,1
"F1169",0,30557,0,0,1
"F1170",0,24459,0,8584,2
"F1173",0,51075,0,0,1
"F1182",0,0,0,31951,1
"F1186",0,1370470,0,85860,2
"F1193",0,668790,0,0,1
"F1218",0,105700,0,2670680,2
"F1219",0,1109730,0,56240,2
"F1222",0,10872,0,0,1
"F1223",0,0,0,36054,1
"F1224",0,37742,0,0,1
"F1229",0,816640,0,0,1
"F1230",0,15233,0,0,1
"F1232",0,0,0,22310,1
"F1235",0,0,0,75671,1
"F1238",0,18138,0,0,1
"F1239",0,0,0,89479,1
"F1051",0,26710,367765,0,2
"F1052",0,46133,0,19719,2
"F1053",0,54484,0,0,1
"F1054",0,0,0,15453,1
"F1058",0,220220,0,414685,2
"F1061",0,0,0,8240,1
"F1063",0,31953,0,5103,2
"F1064",0,25308,0,40667,2
"F1065",0,32601,0,20871,2
"F1066",0,0,0,26653,1
"F1070",0,0,0,13532,1
"F1074",0,0,0,68198,1
"F1076",0,138920,0,17820,2
"F1077",0,0,0,29752,1
"F1078",0,13263,0,29275,2
"F1079",0,33178,0,150517,2
"F1081",0,0,0,905480,1
"F1082",0,22447,0,30868,2
"F1083",0,0,0,885020,1
"F1092",0,0,0,64257,1
"F1094",0,26515,0,0,1
"F1120",0,33153,0,4473,2
"F1123",0,38800,0,0,1
"F1129",0,12607,0,47111,2
"F1137",0,0,0,16010,1
"F1138",0,68565,0,94624,2
"F1145",0,108095,0,0,1
"F1147",0,100982,0,0,1
"F1149",0,50625,0,0,1
"F1551",0,0,0,462920,1
"F1553",0,9250,0,40411,2
"F1555",0,39795,0,62925,2
"F1557",0,193100,0,69120,2
"F1558",0,0,0,66900,1
"F1561",0,11438,15996,15602,3
"F1563",0,63047,0,122546,2
"F1565",0,31580,0,111390,2
"F1573",0,102795,0,208605,2
"F1575",0,34060,0,46930,2
"F1577",0,0,0,8406,1
"F1579",0,46470,0,43930,2
"F1581",0,132915,0,183500,2
"F1583",0,14226,0,15797,2
"F1586",0,15544,0,25384,2
"F1588",0,16193,0,64077,2
"F1605",0,7118,6797,41378,3
"F1608",0,15500,0,11788,2
"F1609",0,62080,0,66545,2
"F1613",0,89200,0,11905,2
"F1615",0,0,0,194140,1
"F1616",0,32750,0,83980,2
"F1618",0,90580,0,33170,2
"F1622",0,5055,0,12801,2
"F1624",0,30187,0,24385,2
"F1625",0,0,0,250480,1
"F1252",0,12797,0,4235,2
"F1353",0,0,0,181690,1
"F1355",0,0,0,19833,1
"F1371",0,0,0,67888,1
"F1256",0,49093,0,0,1
"F1383",0,2359,0,112593,2
"F1387",0,59375,0,176885,2
"F1393",0,4064,0,0,1
"F1397",0,0,0,48548,1
"F1414",0,10347,0,3702,2
"F1427",0,0,0,6145,1
"F1261",0,38458,0,1934,2
"F1437",0,0,0,1229110,1
"F1441",0,23150,0,0,1
"F1262",0,0,0,266780,1
"F1442",0,0,0,6374,1
"F1443",0,0,0,551205,1
"F1479",0,0,0,10071,1
"F1483",0,0,0,20539,1
"F1494",0,0,0,5617,1
"F1495",0,0,0,3167,1
"F1527",0,26513,0,16974,2
"F1271",0,0,0,6049,1
"F1273",0,2260,0,0,1
"F1274",0,8004,0,6299,2
"F1275",0,0,0,2501,1
"F1276",0,3575,0,0,1
"F1277",0,0,40101,6726,2
"F1279",0,162580,0,0,1
"F1280",0,2468,0,2865,2
"F1281",0,0,0,113920,1
"F1246",0,0,0,6249,1
"F1282",0,3572,0,0,1
"F1283",0,16219,0,10929,2
"F1285",0,3554,0,4102,2
"F1288",0,0,0,175060,1
"F1289",0,2990,0,0,1
"F1292",0,0,0,2858,1
"F1306",0,9607,0,66228,2
"F1312",0,67900,0,42315,2
"F1314",0,4314,0,7919,2
"F1316",0,0,0,3422,1
"F1319",0,0,0,2061,1
"F1321",0,3385,0,0,1
"F1327",0,9601,0,0,1
"F1251",0,21887,0,5535,2
"F1338",0,12791,0,0,1
"F1915",0,0,0,136303,1
"F1924",0,29951,0,22221,2
"F1925",0,21470,0,49106,2
"F1926",0,0,0,60210,1
"F1929",0,19930,0,49578,2
"F1930",0,10885,0,512555,2
"F1931",0,35407,0,76681,2
"F1933",0,30349,0,8183,2
"F1916",0,85618,0,30755,2
"F1935",0,2172560,0,28860,2
"F1936",0,0,0,8750,1
"F1917",0,18369,4061,65268,3
"F1958",0,0,0,29159,1
"F1959",0,37039,0,33302,2
"F1960",0,44855,0,20155,2
"F1961",0,21387,0,4348,2
"F1962",0,37093,0,15497,2
"F1963",0,24393,0,56082,2
"F1964",0,0,0,20851,1
"F1965",0,0,0,415840,1
"F1967",0,35678,0,17215,2
"F1968",0,9079,0,74026,2
"F1969",0,0,0,26741,1
"F1970",0,6373,0,0,1
"F1971",0,216310,0,344380,2
"F1973",0,4303,0,10433,2
"F1920",0,44697,0,20112,2
"F1974",0,17353,0,12998,2
"F1975",0,55029,0,25232,2
"F1976",0,17099,0,0,1
"F1977",0,36711,0,15446,2
"F1979",0,0,0,11410,1
"F1981",0,7032,0,0,1
"F1982",0,0,0,16161,1
"F1921",0,15823,2972,124909,3
"F1984",0,5111,0,0,1
"F1985",0,31774,17105,0,2
"F1986",0,19753,0,0,1
"F1987",0,0,0,7540,1
"F1990",0,0,0,1053160,1
"F1991",0,24610,0,295750,2
"F1992",0,11583,0,40080,2
"F1994",0,0,0,12789,1
"F1995",0,0,0,14375,1
"F1996",0,58773,0,40957,2
"F1997",0,158780,168540,1155680,3
"F1998",0,15075,224965,0,2
"F1999",0,0,0,14684,1
"F2001",0,11593,0,44852,2
"F2002",0,0,0,110744,1
"F2003",0,41514,0,0,1
"F2004",0,51861,0,12569,2
"F2005",0,11199,0,14052,2
"F2006",0,0,0,9147,1
"F2007",0,0,0,15851,1
"F2009",0,11048,0,11674,2
"F1727",0,15881,0,29853,2
"F1730",0,5145,0,0,1
"F1735",0,0,0,20128,1
"F1638",0,80542,0,153123,2
"F1749",0,50171,0,70252,2
"F1750",0,12873,0,34673,2
"F1751",0,13457,5903,9514,3
"F1754",0,8062,0,28569,2
"F1755",0,25838,0,33469,2
"F1756",0,1294,0,4890,2
"F1757",0,51090,0,40511,2
"F1758",0,61869,0,115386,2
"F1759",0,0,0,62116,1
"F1760",0,29754,0,25334,2
"F1761",0,9023,0,37513,2
"F1762",0,20731,0,80612,2
"F1764",0,169240,0,697170,2
"F1765",0,41808,0,42064,2
"F1640",0,14633,0,142405,2
"F1766",0,42078,0,25459,2
"F1767",0,0,0,117850,1
"F1769",0,18001,0,68045,2
"F1770",0,39667,0,8519,2
"F1771",0,33012,0,26574,2
"F1772",0,15865,0,34139,2
"F1774",0,87090,0,31396,2
"F1775",0,26817,0,4263,2
"F1641",0,12300,0,79962,2
"F1776",0,16128,4116,7086,3
"F1778",0,4436,0,6913,2
"F1779",0,0,0,2911,1
"F1780",0,4861,0,11842,2
"F1781",0,29490,0,13525,2
"F1642",0,26333,0,39270,2
"F1810",0,58674,0,0,1
"F1811",0,0,0,1450,1
"F1812",0,7033,0,0,1
"F1813",0,0,0,36406,1
"F1815",0,0,0,8586,1
"F1816",0,76537,0,0,1
"F1817",0,12440,0,604460,2
"F1818",0,36086,0,0,1
"F1819",0,10468,10030,83528,3
"F1820",0,0,0,10669,1
"F1821",0,0,0,30343,1
"F1822",0,81654,0,131698,2
"F1824",0,0,0,24321,1
"F1628",0,46144,0,62884,2
"F1646",0,29744,0,121493,2
"F1826",0,38637,0,0,1
"F1827",0,100478,0,0,1
"F1829",0,9241,0,0,1
"F1830",0,47646,0,32917,2
"F1647",0,4946,0,11521,2
"F1848",0,60864,0,22924,2
"F1858",0,15631,0,682663,2
"F1861",0,4593,0,73897,2
"F1863",0,48353,0,67714,2
"F1868",0,4551,0,0,1
"F1871",0,11968,0,10093,2
"F1872",0,20785,0,0,1
"F1873",0,7931,0,94340,2
"F1874",0,18514,21318,2928,3
"F1900",0,4821,0,9571,2
"F1901",0,1513,0,2748,2
"F1903",0,8040,0,0,1
"F1904",0,1909,0,2003,2
"F1905",0,11582,0,13717,2
"F1654",0,65353,0,68709,2
"F1906",0,0,0,38187,1
"F1908",0,0,0,4579,1
"F1909",0,40900,0,133663,2
"F1910",0,6878,0,0,1
"F1911",0,0,0,15664,1
"F1914",0,0,0,35423,1
"F1630",0,6128,0,194430,2
"F1631",0,42680,0,0,1
"F1683",0,34283,0,0,1
"F1684",0,12013,0,33300,2
"F1632",0,24376,0,101494,2
"F1687",0,5324,0,0,1
"F1689",0,8448,0,0,1
"F1690",0,0,0,7541,1
"F1691",0,9735,0,25182,2
"F1692",0,2277,0,0,1
"F1695",0,4570,0,0,1
